,Titre,DOI,Auteurs,Date de publication,Abstract,Lien fichier,Type fichier,Abstract_lemm
0,Oxine N-Oxide as an Analytical Reagent for the Colorimetric Estimation of Cerium (IV) and its Comparison with Oxine as a Chelating Agent,10.5281/zenodo.6539190,"A. N. Bhat, B. D. Jain",1961-05-31,"Oxine N-oxide has been investigated as an analytical reagent for the colorimetric estimation of cerium (IV), which produces a deep brownish red, water-soluble complex with an ethanolic solution of the reagent. The complex is quite stable and the intensity of the colour remains unchanged between pH 2.0 and 6.5. The complex obeys Lambert-Beer's  law at 420 m\(\mu\) up to a dilution of 9 p.p.m. of cerium. The trivalent rare earths cerium, lanthanum and y cerium do not interfere in the above estimation.",https://zenodo.org/api/files/7cd46b77-b5e0-49b7-a5a0-9781b695dc8e/327-330.pdf,pdf,"Oxine N - oxide have be investigate as an analytical reagent for the colorimetric estimation of cerium ( IV ) , which produce a deep brownish red , water - soluble complex with an ethanolic solution of the reagent . the complex be quite stable and the intensity of the colour remain unchanged between ph 2.0 and 6.5 . the complex obey Lambert - Beer 's    law at 420 m\(\mu\ )   up to a dilution of 9 p.p.m . of cerium . the trivalent rare earth cerium , lanthanum and y cerium do not interfere in the above estimation ."
1,"Eco-friendly Synthesis, Spectral Characterization, Particle image and Size Analysis of Cerium Oxide Nanoparticles Mediated By Waste Chow Chow Vegetable Seed Kernel Aqueous Extract",10.5281/zenodo.7239881,"Dr.B.Anand, K.Lakshmi, R.Priyanka, Dr.K.Sathiyamoorthi",2022-10-22,"A novel approach for the utilization of fruit waste is attempted in the present investigation. Chayote (Chow chow) seed aqueous extract was utilized for green synthesis of cerium oxide nanoparticles (CeONPs). The phytoconstituentsin the seed acted as reducing and stabilizing agent for CeONPs formation. UV-Vis, FT-IR, FL, DLS and SEM, analysis were used to characterize the green synthesized CeONPs.UV-vis spectra showed characteristic spectra at 278 nm; DLS and SEM confirmed the crystalline nature. FT-IR revealed functionalgroups like alcohol or phenols, carboxylic acids, ketones, amines, aromatic amines, aliphatic amines,alkyl halides and alkynes which were responsible for CeONP formation. The nanoparticles showed more CV study of cerium oxide nanoparticle. Chayote (Chow chow) seed waste can be successfully utilized for cerium nanoparticlesformation which can be therapeutically useful and effective.",https://zenodo.org/api/files/e26cf7e6-823a-42cf-926b-9995ffdd494f/IJSRED-V5I5P7.pdf,pdf,"a novel approach for the utilization of fruit waste be attempt in the present investigation . Chayote ( Chow chow ) seed aqueous extract be utilize for green synthesis of cerium oxide nanoparticle ( CeONPs ) . the phytoconstituentsin the seed act as reduce and stabilize agent for CeONPs formation . uv - Vis , FT - IR , FL , DLS and SEM , analysis be use to characterize the green synthesize CeONPs . uv - vis spectra show characteristic spectra at 278 nm ; DLS and SEM confirm the crystalline nature . FT - IR reveal functionalgroup like alcohol or phenol , carboxylic acid , ketone , amine , aromatic amine , aliphatic amine , alkyl halide and alkyne which be responsible for ceonp formation . the nanoparticle show more CV study of cerium oxide nanoparticle . Chayote ( Chow chow ) seed waste can be successfully utilize for cerium nanoparticlesformation which can be therapeutically useful and effective ."
2,"A Spectrophotometric Study of Cerium (IV)-3,5-Dinitrosalicylic Acid Complex",10.5281/zenodo.6456732,"S. S. Dube, S. S. Dhindsa",1970-05-31,"A Spectrophotometric Study of Cerium (IV)-3,5-Dinitrosalicylic Acid Complex",https://zenodo.org/api/files/5b1b1881-6fc8-46e9-80ad-fdcf6bb07f4c/489-490.pdf,pdf,"a Spectrophotometric Study of Cerium ( IV)-3,5 - Dinitrosalicylic Acid Complex"
3,The Complex Formation between Cerium or Tungsten with Tartaric Acid in Alkaline Media.,10.5281/zenodo.6793182,"R. RAMAN, B. L. VAISHYA.",1934-12-31,The Complex Formation between Cerium or Tungsten with Tartaric Acid in Alkaline Media. ,https://zenodo.org/api/files/423f4127-17f0-4392-89f3-7a7d9b757a81/179-184.pdf,pdf,the Complex Formation between cerium or Tungsten with Tartaric Acid in Alkaline Media .  
4,Thermodynamic Evolution of Cerium Oxide Nanoparticle Morphology Using Carbon Dioxide Dataset,10.5281/zenodo.4073025,"Adam R. Symington, Marco Molinari, Robert M. Harker, Mark T. Storr, Stephen C. Parker",2020-09-25,"Data supporting the publication ""Thermodynamic Evolution of Cerium Oxide Nanoparticle Morphology Using Carbon Dioxide""
DOI : 10.1021/acs.jpcc.0c07437
URL : https://pubs.acs.org/doi/abs/10.1021/acs.jpcc.0c07437
Contained within are the the initial and final configurations from the VASP calculations.
We used the Ce, O and C POTCAR.
We used a KPOINT mesh of 2 x 2 x 1
An example INCAR has been include.
 ",https://zenodo.org/api/files/a9be4e13-ceda-41e5-af4a-9737fe34c682/Dataset.tar.gz,gz,"datum support the publication "" Thermodynamic Evolution of Cerium Oxide Nanoparticle Morphology use Carbon Dioxide "" 
 doi : 10.1021 / acs.jpcc.0c07437 
 URL : https://pubs.acs.org/doi/abs/10.1021/acs.jpcc.0c07437 
 contain within be the the initial and final configuration from the vasp calculation . 
 we use the Ce , o and C POTCAR . 
 we use a KPOINT mesh of 2 x 2 x 1 
 an example INCAR have be include . 
 "
5,The histopathological changes induced by intra peritoneal administration of cerium oxide on mice brain tissue,10.5281/zenodo.7299145,"Wasfi Dhahir Abid ali, Semahir S, Hameed, luay abdulwahid shihab",2022-05-30,"The use of nanoparticles (NPs) and nanoparticle- based materials raises many concerns about their impact on health related to its many applications in diverse fields, including petroleum refining, polishing agents, and coatings, as well as the toxicity of these NPs in biological/ physiological environment is a major concern. The study conducted at college of nursing – university of Basrah –Iraq,and it aimed to investigated the effect of cerium oxide nanoparticles on mice brain tissues after 30 days of intra-peritoneal I/P injection of cerium oxide nanoparticles . White laboratory mice of Mus musculus L. strain BALB/C that were supplied from (Drug Control Center - College of Science, Thi -Qar University). The mice were placed under controlled conditions of 20-25 degrees and a 12-hour light cycle. And 12 hours of darkness in plastic cages of standard sizes (30×12×11) cm, the first group injected laboratory mice with 1 ml of normal saline physiological solution as a control group. The second treatment group. Laboratory mice were injected with 1 ml of cerium dioxide at a concentration of 3.75 µl of the raw material to 996.25 µl of physiological solution. By one injection between one day and another for a period of 30 days to investigate the effects of I/P administration of cerium oxide Nano- particles on mice brain tissue after 30 day. Mice were killed and brain isolated to prepare for the histological examination which showed that cerium oxide injected for 30 day induce pathological alteration in brain tissue especially on white matter , neurofibers and glial cells. Brain of mice show degeneration of white matter, ,necrosis of glial cell aggregation of glial cell , The histopathological examination investigate that intra-peritoneal injection in mice for thirty day induce histopathological adverse changes in mice brain tissue.",https://zenodo.org/api/files/58f26f00-c342-46fa-8dd4-1d331ba8d928/WJARR-2022-0418.pdf,pdf,"the use of nanoparticle ( np ) and nanoparticle- base material raise many concern about their impact on health relate to its many application in diverse field , include petroleum refining , polish agent , and coating , as well as the toxicity of these np in biological/ physiological environment be a major concern . the study conduct at college of nursing – university of Basrah – Iraq , and it aim to investigate the effect of cerium oxide nanoparticle on mouse brain tissue after 30 day of intra - peritoneal i / p injection of cerium oxide nanoparticle . white laboratory mouse of Mus musculus L. strain BALB / C that be supply from ( Drug Control Center - College of Science , Thi -Qar University ) . the mouse be place under control condition of 20 - 25 degree and a 12 - hour light cycle . and 12 hour of darkness in plastic cage of standard size ( 30×12×11 ) cm , the first group inject laboratory mouse with 1 ml of normal saline physiological solution as a control group . the second treatment group . laboratory mouse be inject with 1 ml of cerium dioxide at a concentration of 3.75 µl of the raw material to 996.25 µl of physiological solution . by one injection between one day and another for a period of 30 day to investigate the effect of i / P administration of cerium oxide Nano- particle on mouse brain tissue after 30 day . mouse be kill and brain isolate to prepare for the histological examination which show that cerium oxide inject for 30 day induce pathological alteration in brain tissue especially on white matter , neurofiber and glial cell . brain of mouse show degeneration of white matter , , necrosis of glial cell aggregation of glial cell , the histopathological examination investigate that intra - peritoneal injection in mouse for thirty day induce histopathological adverse change in mouse brain tissue ."
6,Liquid crystal inorganic hybrid photorefractives,10.1109/leoswt.2008.4444434,"Cook, G., Glushchenko, A. V., Reshetnyak, V. Y.-U., Beckel, E. R., Saleh, M. A., Evans, D. R.",2008-02-14,"We report on the photorefractive properties of liquid crystals sandwiched between windows of cerium doped strontium barium niobate (Ce:SBN). This adaptable design has been used to create devices using pure nematic liquid crystals, ferroelectric nanoparticle doped liquid crystals, and cholesteric liquid crystals. In all these systems, modulation of the liquid crystal molecules is driven by the surface space-charge field from the inorganic windows. Owing to the large effective trap density in the Ce:SBN, high resolution gratings with two-beam coupling gain coefficients of up to 1400 cm-1 have been achieved in the Bragg regime.",https://zenodo.org/api/files/0240d5cf-7712-4268-8c68-2156b99eb2c8/article.pdf,pdf,"we report on the photorefractive property of liquid crystal sandwich between window of cerium dope strontium barium niobate ( Ce : SBN ) . this adaptable design have be use to create device use pure nematic liquid crystal , ferroelectric nanoparticle dope liquid crystal , and cholesteric liquid crystal . in all these system , modulation of the liquid crystal molecule be drive by the surface space - charge field from the inorganic window . owe to the large effective trap density in the Ce : SBN , high resolution grating with two - beam coupling gain coefficient of up to 1400 cm-1 have be achieve in the Bragg regime ."
7,New vista in Parkinson's disease treatment: Magic of nanotechnology,10.5281/zenodo.7227853,"Mukulika Mandal, Aishwarya Mukherjee, Suvroma Gupta",2018-08-01,"Department of Bitechnology, Haldia Insitute of Technology, ICARE Complex, Haldia-721 657, Purba Midnapore,
West Bengal, India
E-mail: suvroma.gupta@gmail.com
Manuscript received 17 July 2018, accepted 28 August 2018
Parkinson’s disease (PD) is one of the progressive neurological diseases that are associated with the loss of dopaminergic neurons in substantia nigra pars compacta of brain. Administration of drugs such as levodopa or dopamine agonists helps to increase dopamine concentration but is impeded by the endothelial layer of blood-brain barrier resulting ineffective treatment. Nanotechnology approaches have created new vistas in order to solve this burning issue. 85 nm PEGylated immunoliposome encapsulated tyrosine hydroxylase expression plasmid effectively crosses blood brain barrier and restores motor behaviour in rat model. Non-viral gene therapy comprising of Lactoferrin modified nanoparticle vectors of size 196±10 nm have gener­ated neuro protective effects. Additionally another agent known as poly-hydroxylated fullerene derivative C60(OH)24 induces positive effect in MPP+ induced PD model with its free radical scavenging activity and antioxidant potential. Equally reveal­ing is the information about smart material namely cerium oxide nanoparticle or nanoceria as a ROS scavenger to decrease oxidative stress. In this review, attempt has been made to evaluate the role of nanotechnology for the remediation of PD.",https://zenodo.org/api/files/b4798f78-8929-4e94-ae05-9a03c5211bd2/August-13.pdf,pdf,"Department of Bitechnology , Haldia Insitute of Technology , ICARE Complex , Haldia-721 657 , Purba Midnapore , 
 West Bengal , India 
 e - mail : suvroma.gupta@gmail.com 
 Manuscript receive 17 July 2018 , accept 28 August 2018 
 Parkinson ’s disease ( PD ) be one of the progressive neurological disease that be associate with the loss of dopaminergic neuron in substantia nigra pars compacta of brain . administration of drug such as levodopa or dopamine agonist help to increase dopamine concentration but be impede by the endothelial layer of blood - brain barrier result ineffective treatment . nanotechnology approach have create new vista in order to solve this burn issue . 85 nm pegylate immunoliposome encapsulate tyrosine hydroxylase expression plasmid effectively cross blood brain barrier and restore motor behaviour in rat model . non - viral gene therapy comprising of Lactoferrin modify nanoparticle vector of size 196±10 nm have gener­ate neuro protective effect . additionally another agent know as poly - hydroxylate fullerene derivative c60(oh)24 induce positive effect in MPP+ induce pd model with its free radical scavenging activity and antioxidant potential . equally reveal­e be the information about smart material namely cerium oxide nanoparticle or nanoceria as a ROS scavenger to decrease oxidative stress . in this review , attempt have be make to evaluate the role of nanotechnology for the remediation of PD ."
8,Ceric-Cerium Oxidation of Catechol,10.5281/zenodo.6369821,"R. L. YADAV, R. G. VERMA",1981-08-31,"Holkar Science College, Indore, M.P.
P. M. B. Gujarati Science College, Indore, M.P.
Manuscript received 16 January 1981, accepted 19 May 1981
Ceric-cerium and catechol have been found to form complex which has got maximum absorbance at \(\lambda\)mnx 440 m\(\mu\). The first order rate law follows the decomposition of the complex, yielding products through free radical.
  The rate of the reaction is retarded by increasing cerium(III) and sulphuric acid concentrations. The thermodynamics parameters In dynamics of the oxidation process have been evaluated.",https://zenodo.org/api/files/0c212a8f-ba20-4148-8df1-d7667a2c3303/768-769.pdf,pdf,"Holkar Science College , Indore , M.P. 
 P. M. B. Gujarati Science College , Indore , M.P. 
 Manuscript receive 16 January 1981 , accept 19 May 1981 
 ceric - cerium and catechol have be find to form complex which have get maximum absorbance at \(\lambda\)mnx 440 m\(\mu\ ) . the first order rate law follow the decomposition of the complex ,   yield product through free radical . 
   the rate of the reaction be retard by increase cerium(iii ) and sulphuric acid concentration . the thermodynamic parameter in dynamic of the oxidation process have be evaluate ."
9,Solvent Extraction of Cerium(III) with High Molecular Weight Amines,10.5281/zenodo.5991891,"A. CHATTERJEE, S. BASU",1992-01-31,"Department of Chemistry, University of Burdwan, Burdwan-718 104
Manuscript received 19 June 1991, revised 26 September 1991, accepted 13 January 1992
The use of high molecular weight amines in the extraction of cerium(III) as EDTA complex from nearly neutral aqueous medium Is reported The extraction condition was optimised from the study of effects of several variables like concentration of amine and EDTA pH nature or diluents etc. The method has been applied for the determinatlon of cerium In few mineral samples.",https://zenodo.org/api/files/5606e676-1b2f-43b9-a10a-9760e7536525/29-31.pdf,pdf,"Department of Chemistry , University of Burdwan , Burdwan-718 104 
 Manuscript receive 19 June 1991 , revise 26 September 1991 , accept 13 January 1992 
 the use of high molecular weight amine in the extraction of cerium(iii ) as EDTA complex from nearly neutral aqueous medium be report the extraction condition be optimise from the study of effect of several variable like concentration of amine and EDTA ph nature or diluent etc . the method have be apply for the determinatlon of cerium in few mineral sample ."
