,Titre,DOI,Auteurs,Date de publication,Abstract,Lien fichier,Type fichier,Abstract_lemm
0,Study on Extraction of Ceric Oxide from Monazite Concentrate,10.5281/zenodo.1075346,"Lwin Thuzar Shwe, Nwe Nwe Soe, Kay Thi Lwin",2008-12-21,"Cerium oxide is to be recovered from monazite,
which contains about 27.35% CeO2. The principal objective
of this study is to be able to extract cerium oxide from
monazite of Moemeik Myitsone Area. The treatment of
monazite in this study involves three main steps; extraction
of cerium hydroxide from monazite, solvent extraction of
cerium hydroxide, and precipitation with oxalic acid and
calcination of cerium oxalate.",https://zenodo.org/api/files/18066842-3259-4798-9ade-115097490132/10493.pdf,pdf,"cerium oxide be to be recover from monazite , 
 which contain about 27.35 % ceo2 . the principal objective 
 of this study be to be able to extract cerium oxide from 
 monazite of Moemeik Myitsone Area . the treatment of 
 monazite in this study involve three main step ; extraction 
 of cerium hydroxide from monazite , solvent extraction of 
 cerium hydroxide , and precipitation with oxalic acid and 
 calcination of cerium oxalate ."
1,Oxine N-Oxide as an Analytical Reagent for the Colorimetric Estimation of Cerium (IV) and its Comparison with Oxine as a Chelating Agent,10.5281/zenodo.6539190,"A. N. Bhat, B. D. Jain",1961-05-31,"Oxine N-oxide has been investigated as an analytical reagent for the colorimetric estimation of cerium (IV), which produces a deep brownish red, water-soluble complex with an ethanolic solution of the reagent. The complex is quite stable and the intensity of the colour remains unchanged between pH 2.0 and 6.5. The complex obeys Lambert-Beer's  law at 420 m\(\mu\) up to a dilution of 9 p.p.m. of cerium. The trivalent rare earths cerium, lanthanum and y cerium do not interfere in the above estimation.",https://zenodo.org/api/files/7cd46b77-b5e0-49b7-a5a0-9781b695dc8e/327-330.pdf,pdf,"Oxine N - oxide have be investigate as an analytical reagent for the colorimetric estimation of cerium ( IV ) , which produce a deep brownish red , water - soluble complex with an ethanolic solution of the reagent . the complex be quite stable and the intensity of the colour remain unchanged between ph 2.0 and 6.5 . the complex obey Lambert - Beer 's    law at 420 m\(\mu\ )   up to a dilution of 9 p.p.m . of cerium . the trivalent rare earth cerium , lanthanum and y cerium do not interfere in the above estimation ."
2,Inactivation of an urban wastewater indigenous Escherichia coli strain by cerium doped zinc oxide photocatalysis,10.1039/C8RA05020A,"Zammit, Ian, Vaiano, Vincenzo, Iervolino, Giuseppina, Rizzo, Luigi",2018-07-20,"Heterogeneous photocatalysis (HPC) is a subset of Advanced Oxidation Processes (AOPs) with potential future applications in water disinfection. Herein, a zinc oxide photocatalyst was doped with cerium at various atomic ratios ranging from 0 to 0.1 Ce:Zn. Keeping in mind that the application of HPC is often limited by its cost of use, a simple and easy to upscale method, that is the hydroxide induced hydrolysis of zinc nitrate in the presence of Ce3+ followed by calcination at 300 °C, was used to synthesise the catalysts. The catalysts have been characterized by different techniques such as X-ray diffraction (XRD), UV-vis diffuse reflectance (UV-vis DRS) and Raman spectroscopy. XRD results showed that Ce3+ ions were successfully incorporated into the ZnO lattice. UV-vis DRS spectra evidenced that Ce–ZnO samples present band-gap values of about 2.97 eV, lower than those of undoped ZnO (3.21 eV). These various photocatalysts, at 0.1 g L−1 in saline 0.85%, were used to inactivate Escherichia coli previously isolated from an urban wastewater treatment plant. Higher atomic ratios of Ce in the ZnO lattice, as confirmed by XRD and Raman spectroscopy, showed significant improvements to the inactivation rate; the resulting recommended optimum cerium loading of 0.04:1 Ce:Zn gave multiple orders of magnitude higher rate of inactivation after 60 min of treatment when compared to un-doped ZnO. This optimum loading of cerium was faster than the de facto literature standard TiO2-P25 tested under identical conditions.",https://zenodo.org/api/files/7495d361-174c-4ebe-824f-a9fbc7ea2af3/IVIR.pdf,pdf,"heterogeneous photocatalysis ( HPC ) be a subset of Advanced Oxidation Processes ( aop ) with potential future application in water disinfection . Herein , a zinc oxide photocatalyst be dope with cerium at various atomic ratio range from 0 to 0.1 Ce : Zn . keep in mind that the application of HPC be often limit by its cost of use , a simple and easy to upscale method , that be the hydroxide induce hydrolysis of zinc nitrate in the presence of ce3 + follow by calcination at 300 ° c , be use to synthesise the catalyst . the catalyst have be characterize by different technique such as x - ray diffraction ( XRD ) , uv - vis diffuse reflectance ( uv - vis DRS ) and Raman spectroscopy . XRD result show that ce3 + ion be successfully incorporate into the ZnO lattice . uv - vis DRS spectra evidence that Ce – ZnO sample present band - gap value of about 2.97 eV , low than those of undoped zno ( 3.21 eV ) . these various photocatalyst , at 0.1 g L−1 in saline 0.85 % , be use to inactivate Escherichia coli previously isolate from an urban wastewater treatment plant . high atomic ratio of Ce in the ZnO lattice , as confirm by XRD and Raman spectroscopy , show significant improvement to the inactivation rate ; the result recommend optimum cerium loading of 0.04:1 Ce : Zn give multiple order of magnitude high rate of inactivation after 60 min of treatment when compare to un - dope zno. this optimum loading of cerium be fast than the de facto literature standard TiO2 - P25 test under identical condition ."
3,Effect of Different Disinfecting Agents on Heavy Metals During Water Treatment,10.5281/zenodo.8334,"Hussein, Mohammed A., El- Seheimy, Abd EL-hafeez, El Sayed, Mohamed, El haloty, Mahmoud M., Kamel, Wael M., Mohamed, Yasser H., Ibrahim, Noha E.",2013-06-01,"Aims: The aim of this study to evaluate the effect of huwa-san and chlorine as disinfecting agents on heavy metals during water treatment. Place and Duration of Study: Department of Biochemistry, Faculty of Pharmacy, October 6 university (Medical Unit IV) and Inorganic laboratory, Central laboratory, Greater Cairo Drinking Water Company, Fustat water treatment plant, between June 2012 and Jan. 2013. Methodology: Nile water samples were taken from water intake throughout the fustat plant, treated with different doses of huwa-san and chlorine to evaluate their effect on the levels of water contained from Al, Zn, Cr, Ni, Fe, Pb and Cu. Results: It was found that the treatment with huwa-san more effective than chlorine in decreasing Al, Zn, Cr, Ni and Cu at the most doses. Also, it is more effective than chlorine in decreasing Fe and Pb concentrations at the doses 2, 3, 4, 5 and 6 ppm while at the dose 7 ppm, the chlorine becomes more effective than huwa-san in decreasing concentration of these elements. Mn showed different results. The chlorine decreased Mn obviously more than huwa-san at all the doses. On the other hand, both of chlorine and huwa-san have the same effect on Zn only at the doses 2 and 3 ppm. The chlorine decreased Ni concentration more than huwa-san at the doses 2 and 3 ppm but huwa-san becomes more effective at the other doses. The results showed that the disinfection with huwa-san more effective results than chlorine at the same doses. 4 ppm of huwa-san represents the most suitable disinfection dose used during the treatment process. Conclusion: The results showed that the disinfection with huwa-san more effective results than chlorine at the same doses. 4 ppm of huwa-san represents the most suitable disinfection dose used during the treatment process.",https://zenodo.org/api/files/f3c43d1e-c1ac-4a83-987b-51cd0fd86f5d/1370231933-Hussein332012ACSj2711.pdf,pdf,"aim : the aim of this study to evaluate the effect of huwa - san and chlorine as disinfecting agent on heavy metal during water treatment . place and Duration of Study : Department of Biochemistry , Faculty of Pharmacy , October 6 university ( Medical Unit IV ) and inorganic laboratory , central laboratory , Greater Cairo Drinking Water Company , Fustat water treatment plant , between June 2012 and Jan. 2013 . methodology : nile water sample be take from water intake throughout the fustat plant , treat with different dose of huwa - san and chlorine to evaluate their effect on the level of water contain from Al , Zn , Cr , Ni , Fe , Pb and Cu . result : it be find that the treatment with huwa - san more effective than chlorine in decrease Al , Zn , Cr , Ni and Cu at the most dose . also , it be more effective than chlorine in decrease Fe and pb concentration at the dose 2 , 3 , 4 , 5 and 6 ppm while at the dose 7 ppm , the chlorine become more effective than huwa - san in decrease concentration of these element . Mn show different result . the chlorine decrease Mn obviously more than huwa - san at all the dose . on the other hand , both of chlorine and huwa - san have the same effect on Zn only at the dose 2 and 3 ppm . the chlorine decrease Ni concentration more than huwa - san at the dose 2 and 3 ppm but huwa - san become more effective at the other dose . the result show that the disinfection with huwa - san more effective result than chlorine at the same dose . 4 ppm of huwa - san represent the most suitable disinfection dose use during the treatment process . conclusion : the result show that the disinfection with huwa - san more effective result than chlorine at the same dose . 4 ppm of huwa - san represent the most suitable disinfection dose use during the treatment process ."
4,Cyanopropyl-functionalized nanosilica based dispersive micro-solid phase extraction method for rapid removal of organophosphorus pesticides from water samples,10.5004/dwt.2020.26257,"Korrani, Z.S., Alizadeh, A., Ibrahim, W.A.W., Sharma, G.",2020-11-01,"In this study, a hydrophilic adsorbent based on cyanopropyl-functionalized silica nanoparticles (CNPr@SiO2 NPs) was successfully synthesized via a sol–gel method. The nanoparticles were characterized using Fourier transform infrared spectroscopy, field emission scanning electron microscopy, Brunauer–Emmett–Teller analysis, and thermogravimetric analysis. The synthesized CNPr@SiO2 NPs were then used as an adsorbent in dispersive micro-solid phase extraction (D-μ-SPE) of some polar and nonpolar organophosphorus pesticides from water samples prior to high-performance liquid chromatography-ultraviolet detection. Under the optimized parameters, the proposed method based on CNPr@SiO2 NPs showed low limits of detection in the range of 0.047–0.059 μg L–1, satisfactory recoveries (101.21%–109.12%), and good RSDs (0.20%–6.70%) for the extraction of OPPs from the various water samples. In addition, the developed D-μ-SPE method based on CNPr@SiO2 NPs showed a superior extraction capability toward the OPPs in comparison to commercial cyanopropyl-bonded silica solid-phase extraction cartridge. © 2020 Desalination Publications. All rights reserved.",https://zenodo.org/api/files/1b1cf671-f733-459a-8f06-6de9d39192e7/Cyanopropyl-functionalized%20nanosilica%20based%20dispersive%20micro-solid%20phase%20extraction%20method%20for%20rapid%20removal%20of%20organophosphorus%20pesticides%20from%20water%20samples.pdf,pdf,"in this study , a hydrophilic adsorbent base on cyanopropyl - functionalize silica nanoparticle ( CNPr@SiO2 NPs ) be successfully synthesize via a sol – gel method . the nanoparticle be characterize use Fourier transform infrared spectroscopy , field emission scan electron microscopy , Brunauer – Emmett – Teller analysis , and thermogravimetric analysis . the synthesize CNPr@SiO2 np be then use as an adsorbent in dispersive micro - solid phase extraction ( d - μ - SPE ) of some polar and nonpolar organophosphorus pesticide from water sample prior to high - performance liquid chromatography - ultraviolet detection . under the optimize parameter , the propose method base on CNPr@SiO2 np show low limit of detection in the range of 0.047–0.059 μg L–1 , satisfactory recovery ( 101.21%–109.12 % ) , and good rsd ( 0.20%–6.70 % ) for the extraction of opp from the various water sample . in addition , the develop D - μ - spe method base on CNPr@SiO2 np show a superior extraction capability toward the opp in comparison to commercial cyanopropyl - bond silica solid - phase extraction cartridge . © 2020 Desalination Publications . all right reserve ."
5,Adsorption of Pb(II) from aqueous solutions onto MgFeAl-CO3 LDH: thermodynamic and kinetic studies,10.5004/dwt.2020.24952,"AIT ICHOU Abdeljalil, BENHITI Ridouan, ABALI Mhamed, DABAGH Abdelkader, CHIBAN Mohamed, ZERBET Mohamed, CARJA Gabriela, SINAN Fouad",2020-02-01,"The objective of this work is to determine the kinetic and thermodynamic properties of adsorption of Pb(II) from aqueous solutions by synthetically prepared MgFeAl-CO3 as layered double hydroxide (LDH) adsorbent. Compared to other adsorbents for heavy metal removal from aqueous solutions, LDH materials possessed many advantages such as nontoxic synthesis, chemical stability, environmentally friendly, and facile separation from the water solution. The synthesis of LDH was achieved by a co-precipitation method. The reaction products were characterized by powder X-ray diffraction, Fourier transform infrared spectroscopy, scanning electron microscopy with energy dispersive spectroscopy and N2 sorption–desorption isotherm analysis. The adsorption rates were investigated. The effect of the parameters such as contact time, initial metal ion concentration, and temperature on the adsorption of the Pb(II) was studied. Equilibrium was achieved in 60 min and the equilibrium adsorption capacity was found to be increased with the increase in the Pb(II) initial concentration. The removal efficiency of Pb(II) increases from 59.50% to 71.15% when the temperature increases from 15°C to 60°C. The pseudo-first-order, pseudo-second-order, and Elovich kinetic models were tested and the first was found to fit better to the experimental data. The application of the intra-particle diffusion model demonstrates that the surface diffusion and the intra-particle diffusion occur in parallel during the adsorption of Pb(II) onto MgFeAl-CO3. The equilibrium adsorption data were analyzed by Langmuir, Freundlich, Redlich-Peterson, and Temkin isotherm models. The results indicated that the Redlich–Peterson and Langmuir isotherms were the most suitable models for the obtained experimental data and the Langmuir maximum adsorption capacity of the MgFeAl-CO3 is found to be 117.86 mg g-1 at 298.15 K. The thermodynamic analysis of the adsorption of Pb(II) on MgFeAl-CO3 reveals that the present adsorption process is a spontaneous and endothermic reaction.",https://zenodo.org/api/files/b9cb9cec-b118-41bf-85db-b4cd1966900c/A.%20Ait%20Ichou%20et%20al.%20DesWater%202020%20%28abstract%29.pdf,pdf,"the objective of this work be to determine the kinetic and thermodynamic property of adsorption of Pb(II ) from aqueous solution by synthetically prepare mgfeal - co3 as layer double hydroxide ( LDH ) adsorbent . compare to other adsorbent for heavy metal removal from aqueous solution , LDH material possess many advantage such as nontoxic synthesis , chemical stability , environmentally friendly , and facile separation from the water solution . the synthesis of LDH be achieve by a co - precipitation method . the reaction product be characterize by powder x - ray diffraction , Fourier transform infrared spectroscopy , scan electron microscopy with energy dispersive spectroscopy and N2 sorption – desorption isotherm analysis . the adsorption rate be investigate . the effect of the parameter such as contact time , initial metal ion concentration , and temperature on the adsorption of the pb(ii ) be study . equilibrium be achieve in 60 min and the equilibrium adsorption capacity be find to be increase with the increase in the Pb(II ) initial concentration . the removal efficiency of Pb(II ) increase from 59.50 % to 71.15 % when the temperature increase from 15 ° c to 60 ° c . the pseudo - first - order , pseudo - second - order , and Elovich kinetic model be test and the first be find to fit well to the experimental datum . the application of the intra - particle diffusion model demonstrate that the surface diffusion and the intra - particle diffusion occur in parallel during the adsorption of Pb(II ) onto MgFeAl - co3 . the equilibrium adsorption datum be analyze by Langmuir , Freundlich , Redlich - Peterson , and Temkin isotherm model . the result indicate that the Redlich – Peterson and Langmuir isotherm be the most suitable model for the obtain experimental datum and the Langmuir maximum adsorption capacity of the mgfeal - co3 be find to be 117.86 mg g-1   at 298.15 K. the thermodynamic analysis of the adsorption of Pb(II ) on MgFeAl - co3 reveal that the present adsorption process be a spontaneous and endothermic reaction ."
6,Inactivation of an urban wastewater indigenous Escherichia coli strain by cerium doped zinc oxide photocatalysis†,10.5281/zenodo.1438041,Ian Zammit,2018-07-16,"Heterogeneous photocatalysis (HPC) is a subset of AdvancedOxidation Processes (AOPs)with potential future
applications in water disinfection. Herein, a zinc oxide photocatalyst was doped with ceriumat various atomic
ratios ranging from 0 to 0.1 Ce : Zn. Keeping in mind that the application of HPC is often limited by its cost of
use, a simple and easy to upscale method, that is the hydroxide induced hydrolysis of zinc nitrate in the
presence of Ce3+ followed by calcination at 300 C, was used to synthesise the catalysts. The catalysts
have been characterized by different techniques such as X-ray diffraction (XRD), UV-vis diffuse reflectance
(UV-vis DRS) and Raman spectroscopy. XRD results showed that Ce3+ ions were successfully incorporated
into the ZnO lattice. UV-vis DRS spectra evidenced that Ce–ZnO samples present band-gap values of
about 2.97 eV, lower than those of undoped ZnO (3.21 eV). These various photocatalysts, at 0.1 g L1 in
saline 0.85%, were used to inactivate Escherichia coli previously isolated from an urban wastewater
treatment plant. Higher atomic ratios of Ce in the ZnO lattice, as confirmed by XRD and Raman
spectroscopy, showed significant improvements to the inactivation rate; the resulting recommended
optimum cerium loading of 0.04 : 1 Ce : Zn gave multiple orders of magnitude higher rate of inactivation
after 60 min of treatment when compared to un-doped ZnO. This optimum loading of cerium was faster
than the de facto literature standard TiO2-P25 tested under identical conditions.",https://zenodo.org/api/files/c27750b5-4a3d-4f13-add1-0a4ebaabca17/Ian%20Zammit%20et%20al.%2C%202018%20%28Open%20Access%29.pdf,pdf,"heterogeneous photocatalysis ( HPC ) be a subset of AdvancedOxidation Processes ( AOPs)with potential future 
 application in water disinfection . Herein , a zinc oxide photocatalyst be dope with ceriumat various atomic 
 ratio range from 0 to 0.1 Ce : Zn . keep in mind that the application of HPC be often limit by its cost of 
 use , a simple and easy to upscale method , that be the hydroxide induce hydrolysis of zinc nitrate in the 
 presence of ce3 + follow by calcination at 300 c , be use to synthesise the catalyst . the catalyst 
 have be characterize by different technique such as x - ray diffraction ( XRD ) , uv - vis diffuse reflectance 
 ( uv - vis DRS ) and Raman spectroscopy . XRD result show that ce3 + ion be successfully incorporate 
 into the ZnO lattice . uv - vis DRS spectra evidence that Ce – ZnO sample present band - gap value of 
 about 2.97 eV , low than those of undoped zno ( 3.21 eV ) . these various photocatalyst , at 0.1 g L1 in 
 saline 0.85 % , be use to inactivate Escherichia coli previously isolate from an urban wastewater 
 treatment plant . high atomic ratio of Ce in the ZnO lattice , as confirm by XRD and Raman 
 spectroscopy , show significant improvement to the inactivation rate ; the result recommend 
 optimum cerium loading of 0.04 : 1 Ce : Zn give multiple order of magnitude high rate of inactivation 
 after 60 min of treatment when compare to un - dope zno. this optimum loading of cerium be fast 
 than the de facto literature standard TiO2 - P25 test under identical condition ."
7,Awareness About Medicinal Application Of Cerium Oxide Nanoparticles Among Dental Students,10.19070/2377-8075-21000887,Dhanraj Ganapathy,2021-09-21,"Introduction: Cerium Oxide (CeO2) NPs, among other NPs, have been widely used because to their unique surface chemistry, high stability, and biocompatibility. Sensors, cells, catalysis, therapeutics agents, drug delivery careers, and anti-parasitic ointments are all made with it. Antimicrobial, anti-cancer, anti-larvicidal, photo-catalysis, and antioxidant therapies have all been documented so far using green produced CeO2 NPs. Aim: This survey was conducted for assessing the awareness about medicinal application of Cerium oxide nanoparticles amongst dental students. Materials and Method: A cross-section research was conducted with a self-administered questionnaire containing ten questions distributed amongst 100 dental students. The questionnaire assessed the awareness about Cerium oxide nanoparticles therapy in medical applications, their anti-oxidant properties, anti-bacterial properties applications, anti-neurodegenerative properties applications, enzyme mimicking properties and biosensing properties. The responses were recorded and analysed. Results: 23% of the respondents were aware of the medicinal applications of Cerium oxide nanoparticles. 19 % were aware of anti-oxidant properties of Cerium oxide nanoparticles, 17 % were aware of anti-bacterial properties of Cerium oxide nanoparticles, 15 % were aware of anti-neurodegenerative properties of Cerium oxide nanoparticles, 14% were aware of enzyme mimicking properties of Cerium oxide nanoparticles and, 10 % were aware of biosensing properties of Cerium oxide nanoparticles. Conclusion: There is limited awareness amongst dental students about use of Cerium oxide nanoparticles therapy in medical applications. Enhanced awareness initiatives and dental educational programmes together with increased importance for curriculum improvements that further promote knowledge and awareness of Cerium oxide nanoparticles therapy",https://zenodo.org/api/files/cbd9c164-4bbc-4d3b-86a6-ae1bb26900b9/IJDOS-2377-8075-08-9038.pdf,pdf,"introduction : cerium oxide ( ceo2 ) np , among other np , have be widely use because to their unique surface chemistry , high stability , and biocompatibility . sensor , cell , catalysis , therapeutic agent , drug delivery career , and anti - parasitic ointment be all make with it . antimicrobial , anti - cancer , anti - larvicidal , photo - catalysis , and antioxidant therapy have all be document so far use green produce ceo2 np . aim : this survey be conduct for assess the awareness about medicinal application of cerium oxide nanoparticle amongst dental student . material and Method : a cross - section research be conduct with a self - administer questionnaire contain ten question distribute amongst 100 dental student . the questionnaire assess the awareness about cerium oxide nanoparticle therapy in medical application , their anti - oxidant property , anti - bacterial property application , anti - neurodegenerative property application , enzyme mimicking property and biosense property . the response be record and analyse . result : 23 % of the respondent be aware of the medicinal application of cerium oxide nanoparticle . 19 % be aware of anti - oxidant property of cerium oxide nanoparticle , 17 % be aware of anti - bacterial property of cerium oxide nanoparticle , 15 % be aware of anti - neurodegenerative property of cerium oxide nanoparticle , 14 % be aware of enzyme mimicking property of cerium oxide nanoparticle and , 10 % be aware of biosense property of cerium oxide nanoparticle . conclusion : there be limited awareness amongst dental student about use of cerium oxide nanoparticle therapy in medical application . enhanced awareness initiative and dental educational programme together with increase importance for curriculum improvement that far promote knowledge and awareness of cerium oxide nanoparticle therapy"
8,The histopathological changes induced by intra peritoneal administration of cerium oxide on mice brain tissue,10.5281/zenodo.7299145,"Wasfi Dhahir Abid ali, Semahir S, Hameed, luay abdulwahid shihab",2022-05-30,"The use of nanoparticles (NPs) and nanoparticle- based materials raises many concerns about their impact on health related to its many applications in diverse fields, including petroleum refining, polishing agents, and coatings, as well as the toxicity of these NPs in biological/ physiological environment is a major concern. The study conducted at college of nursing – university of Basrah –Iraq,and it aimed to investigated the effect of cerium oxide nanoparticles on mice brain tissues after 30 days of intra-peritoneal I/P injection of cerium oxide nanoparticles . White laboratory mice of Mus musculus L. strain BALB/C that were supplied from (Drug Control Center - College of Science, Thi -Qar University). The mice were placed under controlled conditions of 20-25 degrees and a 12-hour light cycle. And 12 hours of darkness in plastic cages of standard sizes (30×12×11) cm, the first group injected laboratory mice with 1 ml of normal saline physiological solution as a control group. The second treatment group. Laboratory mice were injected with 1 ml of cerium dioxide at a concentration of 3.75 µl of the raw material to 996.25 µl of physiological solution. By one injection between one day and another for a period of 30 days to investigate the effects of I/P administration of cerium oxide Nano- particles on mice brain tissue after 30 day. Mice were killed and brain isolated to prepare for the histological examination which showed that cerium oxide injected for 30 day induce pathological alteration in brain tissue especially on white matter , neurofibers and glial cells. Brain of mice show degeneration of white matter, ,necrosis of glial cell aggregation of glial cell , The histopathological examination investigate that intra-peritoneal injection in mice for thirty day induce histopathological adverse changes in mice brain tissue.",https://zenodo.org/api/files/58f26f00-c342-46fa-8dd4-1d331ba8d928/WJARR-2022-0418.pdf,pdf,"the use of nanoparticle ( np ) and nanoparticle- base material raise many concern about their impact on health relate to its many application in diverse field , include petroleum refining , polish agent , and coating , as well as the toxicity of these np in biological/ physiological environment be a major concern . the study conduct at college of nursing – university of Basrah – Iraq , and it aim to investigate the effect of cerium oxide nanoparticle on mouse brain tissue after 30 day of intra - peritoneal i / p injection of cerium oxide nanoparticle . white laboratory mouse of Mus musculus L. strain BALB / C that be supply from ( Drug Control Center - College of Science , Thi -Qar University ) . the mouse be place under control condition of 20 - 25 degree and a 12 - hour light cycle . and 12 hour of darkness in plastic cage of standard size ( 30×12×11 ) cm , the first group inject laboratory mouse with 1 ml of normal saline physiological solution as a control group . the second treatment group . laboratory mouse be inject with 1 ml of cerium dioxide at a concentration of 3.75 µl of the raw material to 996.25 µl of physiological solution . by one injection between one day and another for a period of 30 day to investigate the effect of i / P administration of cerium oxide Nano- particle on mouse brain tissue after 30 day . mouse be kill and brain isolate to prepare for the histological examination which show that cerium oxide inject for 30 day induce pathological alteration in brain tissue especially on white matter , neurofiber and glial cell . brain of mouse show degeneration of white matter , , necrosis of glial cell aggregation of glial cell , the histopathological examination investigate that intra - peritoneal injection in mouse for thirty day induce histopathological adverse change in mouse brain tissue ."
9,"PERIODATES OF YTTRIUM, ERBIUM AND CERIUM.",10.5281/zenodo.6624041,"R. K. BAHL, SURJIT SINGH",1939-12-31,"Yttrium, cerium and erbium resemble with the rest of the rare earths in forming the corresponding rare earth mesoperiodate YIO5 usually with four molecules of water. Yttrium differs from the rest in forming an additional periodate, yttrium diortho­periodate with eleven molecules of water, Y4I2O13, IIH2O, or 2Y2O3, I2O7, IIH2O.",https://zenodo.org/api/files/1fc496fa-b9b0-488c-a340-b7d674e7a0fb/375-378.pdf,pdf,"Yttrium , cerium and erbium resemble with the rest of the rare earth in form the correspond rare earth mesoperiodate YIO5 usually with four molecule of water . yttrium differ from the rest in form an additional periodate , yttrium diortho­periodate with eleven molecule of water , Y4I2O13 , IIH2O , or 2y2o3 , I2O7 , IIH2O."
