,Titre,DOI,Auteurs,Date de publication,Abstract,Lien fichier,Type fichier,Abstract_lemm
0,Flow Cytometry Based Approaches for Nanotoxicity Studies,10.5281/zenodo.804894,"Oliveira, Helena, Roxo, C., Menezes, Catarina, Mendes, Ana, Farcal, Lucian, Ziemann, Christina, Burla, Sabina, Creutzenberg, Otto, Gonçalves, F.",2017-06-09,"Nanomaterials (NM), due to their unique physicochemical properties, are used in various applications in the industrial, electrical, pharmaceutical and biomedical fields and are being included in several consumer products such as cosmetics and food, or specially designed for bio-imaging or drug delivery applications. The nano-scale dimension of NMs, together with other specific physicochemical properties may determine their varying biological effects. The consequent increase of human exposure to NM advises urgency on a proper risk assessment by thorough studies that cover the evaluation of their toxicity.
In the present study, a flow cytometric based approach to evaluate the toxicity of graphene family of nanomaterials (GFNs) to mammalian cells will be presented. Briefly, to evaluate cell-nanoparticles interactions, several cell models were exposed to different concentrations of GFNs and analysed by flow cytometry after 24h or 48h. Endpoints include nanoparticle cell uptake (FSC/SSC), intracellular ROS formation (DCFH2-DA), inflammatory potential by cytokine estimation using cytometric bead arrays, induction of apoptosis using FITC Annexin V Apoptosis Detection Kit and evaluation of cell cycle dynamics. Flow cytometric analysis provide a rapid and accurate screening of biological responses and, although other non-flow cytometric techniques should be used, (eg microscopy, gene expression, etc), our studies indicate that flow cytometric analysis are an extremely helpful tool for in vitro nanotoxicology studies.",Inconnu,Inconnu,"Nanomaterials ( NM ) , due to their unique physicochemical property , be use in various application in the industrial , electrical , pharmaceutical and biomedical field and be be include in several consumer product such as cosmetic and food , or specially design for bio - imaging or drug delivery application . the nano - scale dimension of nm , together with other specific physicochemical property may determine their vary biological effect . the consequent increase of human exposure to NM advise urgency on a proper risk assessment by thorough study that cover the evaluation of their toxicity . 
 in the present study , a flow cytometric base approach to evaluate the toxicity of graphene family of nanomaterial ( GFNs ) to mammalian cell will be present . briefly , to evaluate cell - nanoparticle interaction , several cell model be expose to different concentration of gfns and analyse by flow cytometry after 24h or 48h . endpoint include nanoparticle cell uptake ( FSC / SSC ) , intracellular ROS formation ( DCFH2 - da ) , inflammatory potential by cytokine estimation use cytometric bead array , induction of apoptosis use FITC Annexin V Apoptosis Detection Kit and evaluation of cell cycle dynamic . flow cytometric analysis provide a rapid and accurate screening of biological response and , although other non - flow cytometric technique should be use , ( eg microscopy , gene expression , etc ) , our study indicate that flow cytometric analysis be an extremely helpful tool for in vitro nanotoxicology study ."
1,Plasmonic metal‐organic frameworks,10.1002/smm2.1047,"Zheng, G, Pastoriza‐Santos, I, Pérez‐Juste, J, Liz‐Marzán, LM.",2021-07-02,"Plasmonic metal-organic frameworks are composite nanoparticles comprising plasmonic metal nanoparticles (NPs) embedded within a metal-organic framework (MOF) matrix. As a result, not only the functionalities of the individual components are retained, but synergistic effects additionally provide improved chemical and physical properties. Recent progress in plasmonic MOFs has demonstrated the potential for nanofabrication and various nanotechnology applications. Synthetic challenges toward plasmonic MOFs have been recently addressed, resulting in new opportunities toward practical applications, such as surface-enhanced Raman scattering, therapy, and catalysis. The impact of key parameters (thermodynamic vs. kinetic) on the synthetic pathways of plasmonic MOFs is reviewed, while providing insight into related progress toward structure-derived applications.",https://zenodo.org/api/files/597db9fd-7e47-41ab-a341-6ebb64f0f634/smm2.1047%281%29.pdf,pdf,"plasmonic metal - organic framework be composite nanoparticle comprise plasmonic metal nanoparticle ( np ) embed within a metal - organic framework ( MOF ) matrix . as a result , not only the functionality of the individual component be retain , but synergistic effect additionally provide improve chemical and physical property . recent progress in plasmonic MOFs have demonstrate the potential for nanofabrication and various nanotechnology application . synthetic challenge toward plasmonic mof have be recently address , result in new opportunity toward practical application , such as surface - enhance Raman scatter , therapy , and catalysis . the impact of key parameter ( thermodynamic vs. kinetic ) on the synthetic pathway of plasmonic MOFs be review , while provide insight into related progress toward structure - derive application ."
2,Selective control of reconfigurable chiral plasmonic metamolecules,10.1126/sciadv.1602803,"Anton Kuzyk,  Maximilian J. Urban, Andrea Idili, Francesco Ricci, Na Liu",2017-04-21,"Selective configuration control of plasmonic nanostructures using either top-down or bottom-up approaches has remained challenging in the field of active plasmonics. We demonstrate the realization of DNA-assembled reconfigurable plasmonic metamolecules, which can respond to a wide range of pH changes in a programmable manner. This programmability allows for selective reconfiguration of different plasmonic metamolecule species coexisting in solution through simple pH tuning. This approach enables discrimination of chiral plasmonic quasi-enantiomers and arbitrary tuning of chiroptical effects with unprecedented degrees of freedom. Our work outlines a new blueprint for implementation of advanced active plasmonic systems, in which individual structural species can be programmed to perform multiple tasks and functions in response to independent external stimuli.",https://zenodo.org/api/files/d66aeb32-cd04-44b0-98ad-8af43a64463a/Selective%20control%20of%20reconfigurable%20chiral.pdf,pdf,"selective configuration control of plasmonic nanostructure use either top - down or bottom - up approach have remain challenge in the field of active plasmonic . we demonstrate the realization of dna - assemble reconfigurable plasmonic metamolecule , which can respond to a wide range of ph change in a programmable manner . this programmability allow for selective reconfiguration of different plasmonic metamolecule specie coexist in solution through simple ph tuning . this approach enable discrimination of chiral plasmonic quasi - enantiomer and arbitrary tuning of chiroptical effect with unprecedented degree of freedom . our work outline a new blueprint for implementation of advanced active plasmonic system , in which individual structural specie can be program to perform multiple task and function in response to independent external stimulus ."
3,Electro Dynamic and Plasmonic Features of Nano-Plasmonic Bow Tie Antenna,10.13140/RG.2.2.21571.25120,"Mitra, Manu",2018-08-27,"Nano-plasmonic bow tie antennas are similar to other antennas except that, it is the size of nano and is specifically designed for very wide bandwidth, theoretically infinite. The electromagnetic system of nano-plasmonic bow tie antenna produces the incident energy that have numerical aperture matched to the far-field beam pattern of the antenna. This paper discloses electrodynamic and plasmonic features of nano scale bow tie antenna. These nano structures have a vast array of applications due to their ability to focus incident light into a narrow region of extremely high. It also focuseson E-field enhancement intensity between various planes such as Gaussian and continuous source for specific parameters and geometry of the nano-plasmonic bow tie antenna.",https://zenodo.org/api/files/9e532014-a0f0-406d-a8f3-f153a5965199/electro-dynamic-and-plasmonic-features-of-nano-plasmonic-bow-tie-antenna.pdf,pdf,"Nano - plasmonic bow tie antenna be similar to other antenna except that , it be the size of nano and be specifically design for very wide bandwidth , theoretically infinite . the electromagnetic system of nano - plasmonic bow tie antenna produce the incident energy that have numerical aperture match to the far - field beam pattern of the antenna . this paper disclose electrodynamic and plasmonic feature of nano scale bow tie antenna . these nano structure have a vast array of application due to their ability to focus incident light into a narrow region of extremely high . it also focuseson e - field enhancement intensity between various plane such as gaussian and continuous source for specific parameter and geometry of the nano - plasmonic bow tie antenna ."
4,Nanoscale Imaging and Spectroscopy of Plasmonic Modes with the PTIR Technique,10.1002/adom.201400005,"Katzenmeyer, Aaron M., Chae, Jungseok, Kasica, Richard, Holland, Glenn, Lahiri, Basudev, Centrone, Andrea",2014-05-02,"The photothermal induced resonance (PTIR) method measures the near‐field absorption in gold plasmonic structures. PTIR absorption images show the interference between the bright and dark modes of asymmetric split ring resonators (ASRRs). The plasmonic absorption spectra of the ASRRs individual arcs are obtained locally, confirming the collective nature of the plasmonic excitation. Scale bars are 500 nm.",https://zenodo.org/api/files/d5b6dee3-b658-4d03-a22f-06417d6da10f/article.pdf,pdf,"the photothermal induce resonance ( PTIR ) method measure the near‐field absorption in gold plasmonic structure . ptir absorption image show the interference between the bright and dark mode of asymmetric split ring resonator ( ASRRs ) . the plasmonic absorption spectra of the asrr individual arc be obtain locally , confirm the collective nature of the plasmonic excitation . scale bar be 500 nm ."
5,Planar Plasmonic Terahertz Waveguides for Sensor Applications,10.5281/zenodo.1315408,"Maidul Islam, Dibakar Roy Chowdhury, Gagan Kumar",2018-01-02,"We investigate sensing capabilities of a planar plasmonic THz waveguide. The waveguide is comprised of one dimensional array of periodically arranged sub wavelength scale corrugations in the form of rectangular dimples in order to ensure the plasmonic response. The THz waveguide transmission is observed for polyimide (as thin film) substance filling the dimples. The refractive index of the polyimide film is varied to examine various sensing parameters such as frequency shift, sensitivity and Figure of Merit (FoM) of the fundamental plasmonic resonance supported by the waveguide. In efforts to improve sensing characteristics, we also examine sensing capabilities of a plasmonic waveguide having V shaped corrugations and compare results with that of rectangular dimples. The proposed study could be significant in developing new terahertz sensors with improved sensitivity utilizing the plasmonic waveguides.",https://zenodo.org/api/files/a08d4f13-e1f9-4166-ae59-abe8fb5f5c28/10008397.pdf,pdf,"we investigate sense capability of a planar plasmonic THz waveguide . the waveguide be comprise of one dimensional array of periodically arrange sub wavelength scale corrugation in the form of rectangular dimple in order to ensure the plasmonic response . the THz waveguide transmission be observe for polyimide ( as thin film ) substance fill the dimple . the refractive index of the polyimide film be varied to examine various sense parameter such as frequency shift , sensitivity and Figure of Merit ( FoM ) of the fundamental plasmonic resonance support by the waveguide . in effort to improve sense characteristic , we also examine sensing capability of a plasmonic waveguide have V shape corrugation and compare result with that of rectangular dimple . the propose study could be significant in develop new terahertz sensor with improve sensitivity utilize the plasmonic waveguide ."
6,"Holographic Manipulation of Nanostructured Fiber Optics Enables Spatially-Resolved, Reconfigurable Optical Control of Plasmonic Local Field Enhancement and SERS",10.1002/smll.202200975,"Collard, Liam, Pisano, Filippo, Zheng, Di, Balena, Antonio, Kashif, Muhammad Fayyaz, Pisanello, Marco, D'Orazio, Antonella, De La Prida, Liset M, Ciracì, Cristian, Grande, Marco, De Vittorio, Massimo, Pisanello, Ferruccio",2022-05-04,"Integration of plasmonic structures on step-index optical fibers is attracting interest for both applications and fundamental studies. However, the possibility to dynamically control the coupling between the guided light fields and the plasmonic resonances is hindered by the turbidity of light propagation in multimode fibers (MMFs). This pivotal point strongly limits the range of studies that can benefit from nanostructured fiber optics. Fortunately, harnessing the interaction between plasmonic modes on the fiber tip and the full set of guided modes can bring this technology to a next generation progress. Here, the intrinsic wealth of information of guided modes is exploited to spatiotemporally control the plasmonic resonances of the coupled system. This concept is shown by employing dynamic phase modulation to structure both the response of plasmonic MMFs on the plasmonic facet and their response in the corresponding Fourier plane, achieving spatial selective field enhancement and direct control of the probe's work point in the dispersion diagram. Such a conceptual leap would transform the biomedical applications of holographic endoscopic imaging by integrating new sensing and manipulation capabilities.",https://zenodo.org/api/files/e3167d95-2711-4807-b852-a1d207bc77ea/Small%20-%202022%20-%20Collard%20-%20Holographic%20Manipulation%20of%20Nanostructured%20Fiber%20Optics%20Enables%20Spatially%E2%80%90Resolved%20%20Reconfigurable.pdf,pdf,"integration of plasmonic structure on step - index optical fiber be attract interest for both application and fundamental study . however , the possibility to dynamically control the coupling between the guide light field and the plasmonic resonance be hinder by the turbidity of light propagation in multimode fiber ( MMFs ) . this pivotal point strongly limit the range of study that can benefit from nanostructure fiber optic . fortunately , harness the interaction between plasmonic mode on the fiber tip and the full set of guide mode can bring this technology to a next generation progress . here , the intrinsic wealth of information of guide mode be exploit to spatiotemporally control the plasmonic resonance of the couple system . this concept be show by employ dynamic phase modulation to structure both the response of plasmonic MMFs on the plasmonic facet and their response in the correspond Fourier plane , achieve spatial selective field enhancement and direct control of the probe 's work point in the dispersion diagram . such a conceptual leap would transform the biomedical application of holographic endoscopic imaging by integrate new sensing and manipulation capability ."
7,Data set for the manuscript 'Studying the different coupling regimes for a plasmonic particle in a plasmonic trap',10.5281/zenodo.3555410,"Jeonghyeon Kim, Olivier J.F. Martin",2019-11-27,"This repository includes data set and Matlab scripts, which support the manuscript entitled 'Studying the different coupling regimes for a plasmonic particle in a plasmonic trap', published in Optics Express.  We include the data set necessary to reproduce the results of the paper in the 'RawData.zip' file. We provide Matlab scripts and functions in the 'PostProcessing.zip' file to process the raw data. We also attach HTML documents explaining the data and how we process them. 
Raw data visualization with python.html: This is the first HTML file containing all the information to understand and visualize the raw data. It is generated by Jupyter Notebook, and it includes python scripts to visualize the raw data.
Post-processing raw data using Matlab.html: This is the second HTML file, which gives you a guideline to the data processing routines with the explanations of the Matlab scripts and functions. 
RawData.zip: the data set used to produce the results in the manuscript. 
PostProcessing.zip: Matlab scripts and functions for data post-processing.
python.zip: python files
Note: This version update includes the additional data set for the revision of the manuscript. ",https://zenodo.org/api/files/b3785ee6-cd86-4464-97c9-99a9243312a0/Post-processing%20raw%20data%20using%20Matlab.html,html,"this repository include datum set and Matlab script , which support the manuscript   entitle   ' study the different coupling regime for a plasmonic particle in a plasmonic trap ' , publish in Optics Express .    we include the datum set necessary to reproduce the result of   the paper in   the ' rawdata.zip ' file . we provide Matlab script and function in the ' postprocessing.zip ' file to process the raw datum . we also attach html document explain the datum and how we process they .  
 raw datum visualization with python.html : this be the first   html file contain all the information to understand and visualize the raw datum . it be generate by Jupyter Notebook , and it include python script to visualize the raw datum . 
 post - process raw datum use Matlab.html : this be the second html file , which give you a guideline to the datum processing routine with the explanation of the Matlab script and function .  
 rawdata.zip : the datum set use to produce the result in the manuscript .  
 PostProcessing.zip : Matlab script and function for datum post - processing . 
 python.zip : python file 
 note : this version update include the additional datum set for the revision of the manuscript .  "
8,Aluminum based nanostructures for energy applications,10.12928/TELKOMNIKA.v19i2.18146,"Mohammad Tariq Yaseen, Abdalem A. Rasheed",2021-04-01,"The plasmonic material properties of aluminum allow active plasmon resonances extending from the blue color in the visible range to the ultraviolet (UV) region of the spectrum. Whereas Al is usually avoided for applications of plasmonics due to its losses in the infrared spectrum region. In this work, the study of the scatter and absorption of disk nanoantennas (DNAs) using various types of materials Au, Ag, and Al is accomplished by using the CST microwave studio suite simulation. The results showed that Al can offer good plasmonic properties when DNA radius is 25 nm to 125 nm at 20 nm height and working wavelengths longer than 800 nm in the near-infrared (NIR) region. Al produces negative plasmonic features around 800 nm wavelength due to the interband transition in the imaginary part of epsilon. For Au and Ag, the plasmonic characteristics rapidly decayed when the DNA radius was higher than 60 nm, but in contrast, Al offers good plasmonic features at these large dimensions of DNAs. This extended response of Al in UV, visible, and NIR, incorporated with its low cost, natural abundance, low native oxide, and amenability to industrial processes, could make Al an extremely promising plasmonic metal candidate for energy applications.
 ",https://zenodo.org/api/files/f3a49007-69a6-486d-8334-dabb18211516/39%2018146.pdf,pdf,"the plasmonic material property of aluminum allow active plasmon resonance extend from the blue color in the visible range to the ultraviolet ( uv ) region of the spectrum . whereas Al be usually avoid for application of plasmonic due to its loss in the infrared spectrum region . in this work , the study of the scatter and absorption of disk nanoantenna ( dna ) use various type of material Au , Ag , and Al be accomplish by use the CST microwave studio suite simulation . the result show that Al can offer good plasmonic property when DNA radius be 25 nm to 125 nm at 20 nm height and work wavelength long than 800 nm in the near - infrared ( NIR ) region . Al produce negative plasmonic feature around 800 nm wavelength due to the interband transition in the imaginary part of epsilon . for Au and Ag , the plasmonic characteristic rapidly decay when the DNA radius be high than 60 nm , but in contrast , Al offer good plasmonic feature at these large dimension of dna . this extended response of Al in uv , visible , and NIR , incorporate with its low cost , natural abundance , low native oxide , and amenability to industrial process , could make Al an extremely promising plasmonic metal candidate for energy application . 
 "
9,arnolddkim/PlasmonicCloaks: Validating MFS for Mie scattering,10.5281/zenodo.3870754,Arnold D. Kim,2020-05-31,"Codes used to validate the plasmonic cloaking model presented in the paper entitled, ""Modeling broadband cloaking using 3D nano-assembled plasmonic meta structures"" by Md. Imran Khan, Sayantani Ghosh, Ryan Baxter, and Arnold D. Kim",https://zenodo.org/api/files/5c786cc2-9bf5-4d85-90f4-3f152e19d320/arnolddkim/PlasmonicCloaks-v1.0.zip,zip,"code use to validate the plasmonic cloaking model present in the paper entitle , "" model broadband cloaking use 3D nano - assemble plasmonic meta structure "" by Md. Imran Khan , Sayantani Ghosh , Ryan Baxter , and Arnold D. Kim"
