,Titre,DOI,Auteurs,Date de publication,Abstract,Lien fichier,Type fichier,Abstract_lemm
0,Transparent SiO2-GdF3 sol–gel nano-glass ceramics for optical applications,10.1007/s10971-018-4693-z,"J. J. Velázquez, J. Mosa, G. Gorni, R. Balda, J. Fernández, L. Pascual, A. Durán, Y. Castro",2018-06-01,"transparent SiO2-GdF3 sol–gel nano-glass ceramics for optical
applications",Inconnu,Inconnu,"transparent SiO2 - GdF3 sol – gel nano - glass ceramic for optical 
 application"
1,Novel synthetic approach to the preparation of single-phase BixLa1−xMnO3+δ solid solutions,10.1007/s10971-019-05098-w,"Dovydas Karoblis, Kestutis Mazeika, Dalis Baltrunas, Anna Lukowiak, Wieslaw Strek, Aleksej Zarkov, Aivaras Kareiva",2019-08-03,"In this study, the BixLa1−xMnO3+δ solid solutions (x from 0 to 0.65) were synthesized using sol–gel combustion method with citric acid as a fuel and complexing agent. It was shown that changes in chemical composition of the materials lead to the evolution of crystal structure, morphology, and magnetic properties. The thermal behavior of precursor gel was investigated by thermogravimetric and differential scanning calorimetry (TG-DSC) measurements. X-ray diffraction (XRD) analysis demonstrated that all samples were monophasic. The Rietveld analysis showed that the structure can be indexed by trigonal or cubic unit cell depending on Bi3+ content. Scanning electron microscopy (SEM) was used to evaluate morphological features of the synthesized materials and revealed that Bi3+ ions significantly promote growth of the grains. The sol–gel-derived BixLa1−xMnO3+δ specimens were also characterized by FT-IR spectroscopy and magnetization measurements, which showed a clear correlation between magnetic properties and crystal structure of the materials.",https://zenodo.org/api/files/71902e83-1668-40b3-9036-a6e6d7e5b8d9/Novel%20synthetic%20approach%20to%20the%20preparation%20of%20single-phase%20BixLa1%E2%88%92xMnO3%2B%CE%B4%20solid%20solutions.pdf,pdf,"in this study , the BixLa1−xMnO3+δ   solid solution ( x   from 0 to 0.65 ) be synthesize use sol – gel combustion method with citric acid as a fuel and complexe agent . it be show that change in chemical composition of the material lead to the evolution of crystal structure , morphology , and magnetic property . the thermal behavior of precursor gel be investigate by thermogravimetric and differential scanning calorimetry ( TG - DSC ) measurement . X - ray diffraction ( XRD ) analysis demonstrate that all sample be monophasic . the Rietveld analysis show that the structure can be index by trigonal or cubic unit cell depend on bi3 +   content . scan electron microscopy ( SEM ) be use to evaluate morphological feature of the synthesize material and reveal that bi3 +   ion significantly promote growth of the grain . the sol – gel - derive BixLa1−xMnO3+δ   specimen be also characterize by FT - IR spectroscopy and magnetization measurement , which show a clear correlation between magnetic property and crystal structure of the material ."
2,Staged Development of Modified Silicon Dioxide Films,10.5281/zenodo.3745680,"Arkles, Barry, Berry, Donald H, Figge, Lisa K., Composto, Russell, Chiou, Terry, Colazzo, Hydee, Wallace, William E",1997-02-01,"The hydrolytic generation of SiO2 films from chlorosilanes or alkoxysilanes is interrupted by incorporating labile organic groups which stop SiO2 formation at a processable prepolymer stage. The monomers for the prepolymer have electron withdrawing substituents in the β-position. The organic groups are removed from the prepolymer at low temperature, extruding ethylene. The formation of SiO2 proceeds by intramolecular condensation of the electronegative substituents which are now in a hydrolytically unstable bond
with silicon and hydroxyl groups or ambient moisture. Films of the prepolymer spun onto silicon wafers are converted into
uniform SiO2-rich films at temperatures between 150–400C.",https://zenodo.org/api/files/3201d075-f4de-4b5b-8592-29b033908521/Staged%20Development%20of%20Modified%20Silicon%20Dioxide%20Films.pdf,pdf,"the hydrolytic generation of SiO2 film from chlorosilane or alkoxysilane be interrupt by incorporate labile organic group which stop SiO2 formation at a processable prepolymer stage . the monomer for the prepolymer have electron withdraw substituent in the β - position . the organic group be remove from the prepolymer at low temperature , extrude ethylene . the formation of SiO2 proceed by intramolecular condensation of the electronegative substituent which be now in a hydrolytically unstable bond 
 with silicon and hydroxyl group or ambient moisture . film of the prepolymer spin onto silicon wafer be convert into 
 uniform SiO2 - rich film at temperature between 150–400c."
3,Antibacterial wollastonite supported excellent proliferation and osteogenic differentiation of human bone marrow derived mesenchymal stromal cells,10.1007/s10971-021-05657-0,"Senthil Kumar Venkatraman, Rajan Choudhary, Krishnamurithy Genasan, Malliga Raman Murali, Hanumantha Rao Balaji Raghavendran, Tunku Kamarul, Anushree Suresh, Jayanthi Abraham, Seshasailam Venkateswaran,, Abel Livingston, Sasikumar Swamiappan",2021-11-19,"Biocompatibility and bacterial infections are the primary concerns associated with the current bone graft substitutes. The application of wollastonite-based scaffolds for bone tissue engineering becomes a novel subject of interest. In the present study, a single phasic wollastonite scaffold was synthesised using citric acid-based sol–gel combustion route. Its physicochemical characteristics, antibacterial properties as well as its biocompatibility and osteogenic induction effect on human bone marrow derived stromal cells (hBMSCs) are yet to be explored. The TGA/DTA, XRD and SEM/EDX confirmed the characteristics of wollastonite. The antibacterial test indicated wollastonite inhibition of 47.81% and 45.54% for gram-positive, Staphylococcus aureus and Staphylococcus epidermidis and 47.04% and 46.07% for gram-negative, Escherichia coli and Pseudomonas aeruginosa bacterial strains, respectively. The SEM micrographs demonstrated an excellent attachment of hBMSCs on wollastonite and comparable to commercial hydroxyapatite (cHA) scaffold. The alamar blue cell proliferation assay confirmed 1.7- and 1.8-fold significant increase in hBMSCs seeded on wollastonite and cHA scaffold, respectively, on day 14 as compared with day 1. The immunohistochemistry analysis on Type-I collagen (Col1) and Bone morphogenetic protein-2 (BMP2) expression on day 14 confirmed the osteogenic differentiation of hBMSCs seeded on wollastonite and comparable with cHA scaffold. In conclusion, wollastonite scaffold has a greater potential to substitute bone grafts in orthopaedic applications.",https://zenodo.org/api/files/84b86e2f-d2b4-4242-bc1b-4d4a6fdc1852/Antibacterial%20wollastonite%20supported%20excellent%20proliferation.pdf,pdf,"biocompatibility and bacterial infection be the primary concern associate with the current bone graft substitute . the application of wollastonite - base scaffold for bone tissue engineering become a novel subject of interest . in the present study , a single phasic wollastonite scaffold be synthesise use citric acid - base sol – gel combustion route . its physicochemical characteristic , antibacterial property as well as its biocompatibility and osteogenic induction effect on human bone marrow derive stromal cell ( hbmscs ) be yet to be explore . the TGA / DTA , XRD and SEM / EDX confirm the characteristic of wollastonite . the antibacterial test indicate wollastonite inhibition of 47.81 % and 45.54 % for gram - positive ,   Staphylococcus aureus   and   Staphylococcus epidermidi   and 47.04 % and 46.07 % for gram - negative ,   Escherichia coli   and   Pseudomonas aeruginosa   bacterial strain , respectively . the SEM micrograph demonstrate an excellent attachment of   hbmscs   on wollastonite and comparable to commercial hydroxyapatite ( cha ) scaffold . the alamar blue cell proliferation assay confirm 1.7- and 1.8 - fold significant increase in   hBMSCs   seed on wollastonite and cHA scaffold , respectively , on day 14 as compare with day 1 . the immunohistochemistry analysis on Type - I collagen ( col1 ) and Bone morphogenetic protein-2 ( BMP2 ) expression on day 14 confirm the osteogenic differentiation of   hBMSCs   seed on wollastonite and comparable with cHA scaffold . in conclusion , wollastonite scaffold have a great potential to substitute bone graft in orthopaedic application ."
4,Development of a Porous Silica Film by Sol-gel Process,10.5281/zenodo.1063366,"Binay K. Dutta, Tayseir M. Abd Ellateif, Saikat Maitra",2011-01-27,"In the present work homogeneous silica film on
silicon was fabricated by colloidal silica sol. The silica sol precursor
with uniformly granular particle was derived by the alkaline
hydrolysis of tetraethoxyorthosilicate (TEOS) in presence of glycerol
template. The film was prepared by dip coating process. The
templated hetero-structured silica film was annealed at elevated
temperatures to generate nano- and meso porosity in the film. The
film was subsequently annealed at different temperatures to make it
defect free and abrasion resistant. The sol and the film were
characterized by the measurement of particle size distribution,
scanning electron microscopy, XRD, FTIR spectroscopy,
transmission electron microscopy, atomic force microscopy,
measurement of the refractive index, thermal conductivity and
abrasion resistance. The porosity of the films decreased whereas
refractive index and dielectric constant of it `increased with the
increase in the annealing temperature. The thermal conductivity of
the films increased with the increase in the film thickness. The
developed porous silica film holds strong potential for use in
different areas.",https://zenodo.org/api/files/dbd6a41e-b830-4b67-803d-d08098c3f5b9/6677.pdf,pdf,"in the present work homogeneous silica film on 
 silicon be fabricate by colloidal silica sol . the silica sol precursor 
 with uniformly granular particle be derive by the alkaline 
 hydrolysis of tetraethoxyorthosilicate ( TEOS ) in presence of glycerol 
 template . the film be prepare by dip coating process . the 
 template hetero - structure silica film be anneal at elevated 
 temperature to generate nano- and meso porosity in the film . the 
 film be subsequently anneal at different temperature to make it 
 defect free and abrasion resistant . the sol and the film be 
 characterize by the measurement of particle size distribution , 
 scan electron microscopy , XRD , FTIR spectroscopy , 
 transmission electron microscopy , atomic force microscopy , 
 measurement of the refractive index , thermal conductivity and 
 abrasion resistance . the porosity of the film decrease whereas 
 refractive index and dielectric constant of it ` increase with the 
 increase in the anneal temperature . the thermal conductivity of 
 the film increase with the increase in the film thickness . the 
 develop porous silica film hold strong potential for use in 
 different area ."
5,Spectroscopic and SEM Investigation of TCPP in Titanium Matrix,10.5281/zenodo.1063346,"R.Rahimi, F.Moharrami",2008-07-26,Titanium gels doped with water-soluble cationic porphyrin were synthesized by the sol–gel polymerization of Ti (OC4H9)4. In this work we investigate the spectroscopic properties along with SEM images of tetra carboxyl phenyl porphyrin when incorporated into porous matrix produced by the sol–gel technique.,https://zenodo.org/api/files/818efcad-8c48-4085-b0c6-8c9691ea0852/6667.pdf,pdf,titanium gel dope with water - soluble cationic porphyrin be synthesize by the sol – gel polymerization of Ti ( oc4h9)4 . in this work we investigate the spectroscopic property along with SEM image of tetra carboxyl phenyl porphyrin when incorporate into porous matrix produce by the sol – gel technique .
6,Biocompatibility of bismuth silicate coatings deposited on 316L stainless steel by sol-gel process,10.17533/udea.redin.n84a04,"Jorge Hernando Bautista-Ruiz, Jhon Jairo Olaya-Flórez, Willian Arnulfo Aperador-Chaparro",2017-09-25,"Bismuth silicate, (BSO) thin films have been fabricated by sol–gel process. The stable sol was synthesized by using bismuth nitrate (III) pentahydrate and tetraethyl orthosilicate (TEOS). The films were deposited by spin-coating at 1500 rpm on Stainless Steel 316L. The films were characterized by Atomic Force Microscopy (AFM), Scanning Electron Microscopy (SEM), X-ray diffraction (XRD) besides the measured of the films thickness. This study aimed to evaluate the cell adhesion and cellular proliferation of osteoblast cells on BSO thin films and substrate 316L by MTT assay. It is concluded that the growth of osteoblasts is homogeneous in the surface of the coatings indicating that the medium offered by the films does not present active cytotoxicity and exceed in large number the level of cellular growth compared to Stainless Steel.",https://zenodo.org/api/files/d85e2fb5-b4f2-4b51-9f00-a1d63fd433e8/3.%20Biocompatibility%20of%20bismuth%20silicate%20coatings.pdf,pdf,"bismuth silicate , ( BSO ) thin film have be fabricate by sol – gel process . the stable sol be synthesize by use bismuth nitrate ( III ) pentahydrate and tetraethyl orthosilicate ( TEOS ) . the film be deposit by spin - coating at 1500 rpm on Stainless Steel 316l. the film be characterize by Atomic Force Microscopy ( AFM ) , Scanning Electron Microscopy ( SEM ) , x - ray diffraction ( XRD ) besides the measured of the film thickness . this study aim to evaluate the cell adhesion and cellular proliferation of osteoblast cell on bso thin film and substrate 316L by mtt assay . it be conclude that the growth of osteoblast be homogeneous in the surface of the coating indicate that the medium offer by the film do not present active cytotoxicity and exceed in large number the level of cellular growth compare to Stainless Steel ."
7,The Diffusion Control in Sol-Gel Transformation,10.5281/zenodo.6361943,"A. A WAD, F. EL-CHEIKH, A. SHAKER",1980-07-31,"Chemistry Department, Faculty of Science, Sohag, Egypt
Manuscript received 8 January 1979, revised 12 October 1979, accepted 17 March 1980
Sodium alginate sol can be converted into ionotropic gel through the diffusion of a di- or trivalent metal ion. The kinetics or this process can be studied by two different methods. The first is the analytical method in which the decrease of the divalent metal ion concentration with time during the exchange process with sodium alginate sol is followed complexometrically. It is found that the rate of gel formation is greater at first during the primary gel membrane formation, and it depends on both the electrolyte and the sol concentration. The rate then decreases during the further gel growth and becomes constant whatever the concentration or the electrolyte is. This may be attributed to the diffusion control through the primary gel membrane. The second method is the drop density method in which the rate of density variation or a sol drop during its contact with the electrolyte solution is taken as a measure or ionotropic gel growth. The drop density method is carried out at different temperatures, and the rate of growth is found to increase by raising temperature. The activation energy is calculated and found to have the values between (13-20 k.j./Mole).",https://zenodo.org/api/files/423cd866-0912-4025-b60d-89969e9130b8/728-731.pdf,pdf,"Chemistry Department , Faculty of Science , Sohag , Egypt 
 Manuscript receive 8 January 1979 , revise 12 October 1979 , accept 17 March 1980 
 Sodium alginate sol can be convert into ionotropic gel through the diffusion of a di- or trivalent metal ion . the kinetic or this process can be study by two different method . the first be the analytical method in which the decrease of the divalent metal ion concentration with time during the exchange process with sodium alginate sol be follow complexometrically . it be find that the rate of gel formation be great at first during the primary gel membrane formation , and it depend on both the electrolyte and the sol concentration . the rate then decrease during the further gel growth and become constant whatever the concentration or the electrolyte be . this may be attribute to the diffusion control through the primary gel membrane . the second method be the drop density method in which the rate of density variation or a sol drop during its contact with the electrolyte solution be take as a measure or ionotropic gel growth . the drop density method be carry out at different temperature , and the rate of growth be find to increase by raise temperature . the activation energy be calculate and find to have the value between ( 13 - 20 k.j./Mole ) ."
8,FUNCTIONALIZATION OF GLASS BY SOL-GEL LAYERS,10.5281/zenodo.3346786,"Plško A., Pagáčová J., Papučová I., Čierniková M., Kuklová A.",2018-11-30,FUNCTIONALIZATION OF GLASS BY SOL-GEL LAYERS,https://zenodo.org/api/files/4d2296fa-adc2-4dc3-83dd-71d72044109e/FUNCTIONALIZATION%20OF%20GLASS%20BY%20SOL-GEL%20LAYERS.pdf,pdf,functionalization of GLASS by SOL - gel layer
9,Die reversible Sol-Gel-Transformation,10.1007/bf01427554,"Bradford, S. C.",1921-05-01,,https://zenodo.org/api/files/10ad688e-dfc0-4667-95e0-e8539885285b/article.pdf,pdf,nan
