,Titre,DOI,Auteurs,Date de publication,Abstract,Lien fichier,Type fichier
0,EL GRAFENO 3D Y SU CONTRIBUCIÓN EN EL DESARROLLO DE BATERÍAS LITIO-AZUFRE (Li-S),10.5281/zenodo.4733673,"Almudena Benítez de la Torre, Juan Luis Gómez-Cámer, Álvaro Caballero Amores, Morales Palomino",2021-05-03,"Resumen de la publicación de una participación en formato µVídeo en en el congreso Divulga NextGen (1ª edición) que se celebrará online, de manera gratuita y en las redes sociales los días 26, 27 y 28 de mayo de 2021.",https://zenodo.org/api/files/4dd5ee0f-ad76-4495-a54b-c83b5fe5fc6f/Resumen_IT-0008_Almudena%20Ben%C3%ADtez.pdf,pdf
1,"Synthesis and Electrochemical Behavior in Redox Reaction with Lithium of K, Na (V-Oxide Compounds)",10.5281/zenodo.4455852,"Kuznetsov, Yu. A., Apostolova, R.D., Shembel, E.M.",2021-01-15,"Heterogeneous vanadium-oxide compounds (bronzes, vanadates) attract the attention of developers of lithium batteries due to an increased structural stability of those oxides in the redox reaction with lithium as compared with the resistance of V2O5 oxide, a traditional intercalation electrode material for Li-batteries. Structural stabilization improves the discharge characteristics of Li-batteries based on potassium-containing and sodium-containing vanadium oxide compounds. In this work, the combined effect of potassium and sodium ions on the electrochemical transformation of vanadium oxide compounds in electrodes for usage in a Li-battery was investigated. According to the data of the X-ray phase analysis, dispersed deposits were obtained at the anode, depending on the composition of the electrolyte. From the solutions of potassium metavanadate in the presence of sodium ions, the deposits contain Na5V12O32 and KV5O13 vanadates; from the solutions of vanadyl sulfate in the presence of potassium and sodium ions, vanadates Na10V24O64 and KV5O13 are formed. The evaluation of the electrochemical parameters of the synthesized material indicates the possibility of its use  in Li-batteries. The cycling efficiency of vanadates obtained from vanadyl sulfate solutions in thin-layer ballastless electrodes of a lithium battery exceeds that of V2O5 oxide. The positive combined potassium-sodium effect can be useful for the implementation of thin-layer lithium batteries based on electrochemically synthesized K, Na (V-oxide compounds) obtained from a solution of vanadyl sulfate.",https://zenodo.org/api/files/1b0bbab8-5ace-4175-9b27-054b45988a1a/article_4.pdf,pdf
2,Data from: Exfoliated transition metal dichalcogenide nanosheets for supercapacitor and sodium ion battery applications,10.5061/dryad.tv2tk65,"Mukherjee, Santanu, Turnley, Jonathan, Mansfield, Elisabeth, Holm, Jason, David, Lamuel, Singh, Gurpreet",2019-07-18,"Growing concerns regarding the safety, flammability, and hazards posed by Li-ion systems have led to research on alternative rechargeable metal-ion electrochemical storage technologies. Among the most notable of these are Na-ion supercapacitors and batteries, motivated in part because of the similar size and electrochemistry of Li and Na ions. However, sodium ion batteries (SIBs) come with their own set of issues, especially the large size of the Na+ ion, its relatively sluggish kinetics and low energy densities. This makes the development of novel materials and appropriate electrode architecture is of absolute significance. Transition metal dichalcogenides (TMDs), in this regard have attracted a lot of attention due of their relative ease of exfoliation, diverse morphologies and architectures with superior electronic properties. Here, we study the electrochemical performance of Mo based two dimensional (2D) layered TMDs (e.g. MoS2, MoSe2, and MoTe2), exfoliated in a superacid, for battery and supercapacitor applications.  The exfoliated TMD flakes were interfaced with reduced graphene oxide (rGO) to be used as composite electrodes. Electron microscopy, elemental mapping, Raman spectra were used to analyze the exfoliated material and confirm the formation of 2D TMD/rGO layer morphology. For supercapacitor applications in aqueous media, the sulfide-based TMD (MoS2) exhibited the best performance, providing an areal capacitance of 60.25 mF cm-2. For SIB applications, TMD electrodes exhibited significantly high charge capacities than the neat rGO electrode. The initial desodiation capacities for the composite electrodes 468.84 mAh g-1 (1687.82 C g-1),  399.10 mAh g-1 (1436.76 C g-1) and 387.36 mAh g-1 (1394.49 C g-1) for MoS2, MoSe2, and MoTe2 respectively. Also, all the composite TMD electrodes provided a coulombic efficiency of ∼100 % after few cycles.",https://zenodo.org/api/files/9c25ed1a-e491-4846-8a9d-bdfb105fd7a8/Aerial%20capacitance.opj,opj
3,Ion Batteries,10.4122/dtu:2858,"Students from NTU-RPI-DTU Innovation workshop,",2014-06-27,"Development of Lithium and Sodium ion batteries is essential for portable electronics and
electrically powered transportation. An important aspect of the batteries performance is
control of the lithium and sodium ion intercalation into the electrode materials. In this project
you will look at this process and how it limits performance and how it can improved. One
aspect will be looking into ways of getting detailed information on the nanoscale processes
by imaging and spectroscopy.",https://zenodo.org/api/files/5a9278a1-2f34-4c9c-8b76-cf93c20942b4/Ion_Batteries.pdf,pdf
4,Enhanced Performance of an All-Vanadium Redox Flow Battery Employing Graphene Modified Carbon Paper Electrodes,10.5281/zenodo.1131954,"Barun Chakrabarti, Dan Nir, Vladimir Yufit, P. V. Aravind, Nigel Brandon",2017-07-04,"Fuel cell grade gas-diffusion layer carbon paper (CP) electrodes are subjected to electrophoresis in N,N'-dimethylformamide (DMF) consisting of reduced graphene oxide (rGO). The rGO modified electrodes are compared with CP in a single asymmetric all-vanadium redox battery system (employing a double serpentine flow channel for each half-cell). Peak power densities improved by 4% when the rGO deposits were facing the ion-exchange membrane (cell performance was poorer when the rGO was facing the flow field). Cycling of the cells showed least degradation of the CP electrodes that were coated with rGO in comparison to pristine samples.",https://zenodo.org/api/files/5faf77e5-94c9-493c-a812-17035bfd6833/10007796.pdf,pdf
5,A review of hard carbon anode materials for sodium-ion batteries and their environmental assessment,10.5281/zenodo.4575369,"Peters, Jens F., Abdelbaky, Mohammad, Baumann, Manuel, Weil, Marcel",2021-03-03,"Sodium-ion batteries are increasingly being promoted as a promising alternative to current lithium-ion batteries. The substitution of lithium by sodium offers potential advantages under environmental aspects due to its higher abundance and availability. However, sodium-ion (Na-ion) batteries cannot rely on graphite for the anodes, requiring amorphous carbon materials (hard carbons). Since no established market exists for hard carbon anode materials, these are synthesised individually for each Na-ion battery from selected precursors. The hard carbon anode has been identified as a relevant driver for environmental impacts of sodium-ion batteries in a recent work, where a significant improvement potential was found by minimising the impacts of the hard carbon synthesis process. In consequence, this work provides a detailed process model of hard carbon synthesis processes as basis for their environmental assessment. Starting from a review of recent studies about hard carbon synthesis processes from different precursors, three promising materials are evaluated in detail. For those, the given laboratory synthesis processes are scaled up to a hypothetical industrial level, obtaining detailed energy and material balances. The subsequent environmental assessment then quantifies the potential environmental impacts of the different hard carbon materials and their potential for further improving the environmental performance of future Na-ion batteries by properly selecting the hard carbon material. Especially organic waste materials (apple pomace) show a high potential as precursor for hard carbon materials, potentially reducing environmental impacts of Na-ion cells between 10 and 40% compared to carbohydrate (sugar) based hard carbons (the hard carbon material used by the current reference work). Waste tyres are also found to be a promising hard carbon precursor, but require a more complex pre-treatment prior to carbonisation, why they do not reach the same performance as the pomace based one. Finally, hard carbons obtained from synthetic resins, another promising precursor, score significantly worse. They obtain results in the same order of magnitude as the sugar based hard carbon, mainly due to the high emissions and energy intensity of the resin production processes.",https://zenodo.org/api/files/565a8a41-88b5-43ae-9a74-6eb4ac75a9dc/Peters%20Abdelbaky%20et%20al.%2020191.pdf,pdf
6,Green-Reduction of Covalently Functionalized Graphene Oxide with Varying Stoichiometry,10.5281/zenodo.1088668,"A. Pruna, D. Pullini, D. Busquets",2013-10-03,"Graphene-based materials were prepared by chemical reduction of covalently functionalized graphene oxide with environmentally friendly agents. Two varying stoichiometry of graphene oxide (GO) induced by using different chemical preparation conditions, further covalent functionalization of the GO materials with 1-ethyl-3-(3-dimethylaminopropyl) carbodiimide hydrochloride / N-hydroxysuccinimide and ascorbic acid and sodium bisulfite as reducing agents were exploited in order to obtain controllable properties of the final solution-based graphene materials. The obtained materials were characterized by thermo-gravimetric analysis, Fourier transform infrared and Raman spectroscopy and X-ray diffraction. The results showed successful functionalization of the GO materials, while a comparison of the deoxygenation efficiency of the two-type functionalized graphene oxide suspensions by the different reducing agents has been made, revealing the strong dependence of their properties on the GO structure and reducing agents.",https://zenodo.org/api/files/8077129a-7444-488a-85e6-6384f6806aa1/17245.pdf,pdf
7,Sulfamethoxazole transformation products in anaerobic batch assays,10.5281/zenodo.6979965,"Ponzelli, Michele",2022-08-02,"The document contains the ion spectra and sulfamethoxazole’s extracted ion chromatogram (XIC). The antibiotic was spiked in anaerobic batch assays containing graphene oxide at different levels. Two transformation products were detected, and the proposed biotransformation pathway is described in the last figure.",https://zenodo.org/api/files/7a7fd1da-6151-4bdb-8fa5-a8a3cfe878e3/SMX%20TP.docx,docx
8,Electrical and magnetic properties of graphene-based Iron magnetic nanocomposites,10.5281/zenodo.3334491,"Ansari, Narges, Feghhi, Fazeleh",2017-04-04,"Iron-graphene magnetic nanocomposites are very beneficial due to the graphene amazing electrical characters. In this study, Iron-graphene composition was prepared by electrochemical exfoliation and the crystallographic structures of the materials characterized by XRD measurement. Morphological structure and magnetic properties of nanocomposite studied by TEM microscope and VSM analysis. This composite showed to have saturation magnetization as high as 185.4 emu/g and electrical conductivity in the order of 10-5 Ohm.cm-1 which is far more magnetic and conductive than Iron oxides, this indicates electrical and magnetic superiority of graphene-based magnetic nanocomposites. ",https://zenodo.org/api/files/7db1c8f3-d75e-4d5d-b083-0f51342cf6c3/P20.pdf,pdf
9,Tin and Tin-Copper Composite Nanorod Anodes for Rechargeable Lithium Applications,10.5281/zenodo.1089186,"B. D. Polat, O. Keles",2013-11-05,"Physical vapor deposition under conditions of an obliquely incident flux results in a film formation with an inclined columnar structure. These columns will be oriented toward the vapor source because of the self-shadowing effect, and they are homogenously distributed on the substrate surface because of the limited surface diffusion ability of ad-atoms when there is no additional substrate heating.
In this work, the oblique angle electron beam evaporation technique is used to fabricate thin films containing inclined nanorods. The results demonstrate that depending on the thin film composition, the morphology of the nanorods is changed as well. The galvanostatic analysis of these thin film anodes reveals that a composite CuSn nanorods having approximately 900mAhg-1 of initial discharge capacity, performs higher electrochemical performance compared to pure Sn nanorods containing anode material. The long cycle life and the advanced electrochemical properties of the nanostructured composite electrode might be attributed to its improved mechanical tolerance and enhanced electrical conductivity depending on the Cu presence in the nanorods.",https://zenodo.org/api/files/b71d9137-9af6-42c8-bd9c-345b59d67347/9996650.pdf,pdf
