,Titre,DOI,Auteurs,Date de publication,Abstract,Lien fichier,Type fichier
0,Studies on photoelectrochemical conversion,10.5281/zenodo.5839277,"Kehar Singh, S. S. D. Mishra",2003-05-31,"Chemistry Department, D. D. U. Gorakhpur University, Gorakhpur-273 009, India
Manuscript received 22 October 2002
Studies on photoelectrochemical conversion based on polycrystalline semiconducting materials prepared using electrochemical co-deposition techniques are briefly reviewed. Systems based on metal chalcogenides and mixed metal chalcogenides have been dealt with. Electrochemical studies on photoelectroactive materials prepared using mixed solvents and photoelectroconvertibility studies on some multiple band gap composite semiconducting systems are also presented.",https://zenodo.org/api/files/4e0924b2-07dd-4191-b8af-36526ea0e97e/441-447.pdf,pdf
1,Tribological evaluation of soft metallic multilayer coatings for wear applications based on a multiple pass scratch test method,10.1016/j.wear.2017.01.119,"Anand, Mayank, Burmistroviene, Grazina, Tudela, Ignacio, Verbickas, Rolandas, Lowman, Guy, Zhang, Yi",2017-02-07,"The multiple pass scratch test method was employed for characterising the tribological performance of soft metallic multilayer coatings under the linear sliding wear situation. For this purpose, three different structures of tin (Sn) based coating (<15Hv0.03) were produced by electroplating process on relatively hard metallic substrates (117Hv0.1). The coating structures studied include a benchmark monolayer coating with soft Sn matrix, and two multilayer coatings with 3-layers and 5-layers of soft Sn matrix and hard SnNi intermetallic sublayer (s). The test method involves sliding a 100Cr6 steel ball against the Sn coated surface under loaded condition for a certain length and then repeating the process 50 times in a unidirectional cyclic manner. Various loading conditions were applied to identify the correct load in order to eliminate the influence of surface roughness of coating and hardness of substrate on the tribological results. Finally, load of 10 N allowed the ball probe to remove a small amount of the coating material in each scratch cycle and differentiate between the characteristic friction and wear behaviour of different coating structures layer-by-layer. Post-test surface and cross-section of worn coating regions were analysed, and the scratch and Vickers hardness of fresh coating surfaces were measured, to correlate the tribological behaviour with the respective coating structure. Results clearly showed the beneficial effects of the lubricious intermetallic sublayer within 3-layers and 5-layers Sn coating structures. The improvement in performance was even higher with lesser thickness of sublayers in 5-layers structure. Apparently, the hard intermetallic sublayer strengths the multilayer structure and at the same time enhances its wear resistance due to increase in the overall hardness of coating. Therefore, the multiple pass scratch test method successfully compared the tribological performance of soft Sn based coatings under the carefully selected test conditions.",https://zenodo.org/api/files/1aabf584-fd80-4344-bbc3-29a8d689e138/Wear%20journal%20preprint.pdf,pdf
2,"Synthesis, characterization and optical properties of nitrogen-doped ZnTiO3",10.5281/zenodo.5704166,"Budigi Lokesh, R. Vijayaraghavan, N. Madhusudhana Rao",2015-05-01,"Thin Films Laboratory, Materials Physics Division, School of Advanced Sciences, VIT University,
Vellore-632 014, Tamilnadu, India
E-mail : drnmrao@gmail.com
Centre for Excellence in Nano Materials, School of Advanced Sciences, VIT University, Vellore-632 014,
Tamilnadu, India
Nitrogen doped ternary metal oxide ZnTiO3 was synthesized by organic precursor method. Metal benzoate dihydrazinate complexes were prepared by a simple in situ chemical method. The formed metal benzoate dihydrazinate complexes were decomposed at different temperatures to yield the corresponding metal oxides. The samples were characterized by FT-IR, TGA and DSC, powder XRD, DRS, SEM and EDAX. Thermal analysis (TGA and DSC) revealed the decomposition path of the metal benzoate dihydrazinate complexes. XRD analysis confirms the polycrystalline nature of samples with pure phase formation. SEM analysis shows that the formed metal oxide powders are spherical particles. EDX confirmed the presence of 7.5 wt.% of nitrogen in the cubic phase ZnTiO3 . The optical studies were carried by recording diffuse reflectance spectra. Using Tauc’s relation (αhν)n = A(hν– Eg ) optical bandgap for nitrogen doped ZnTiO3 was found to be 3.91 eV.",https://zenodo.org/api/files/b2d82a03-c539-4832-82ca-161f09d77559/804-807.pdf,pdf
3,Comparative Study of AlGaN/GaN HEMTs on Free-Standing Diamond and Silicon Substrates for Thermal Effects,10.1109/csics.2010.5619630,"Trejo, Manuel, Chabak, Kelson D., Poling, Brian, Gilbert, Ryan, Crespo, Antonio, Gillespie, James K., Kossler, Mauricio, Walker, Dennis E., Via, Glen D., Jessen, Gregg H., Francis, Daniel, Babic, Dubravko, Faili, Firooz, Ejeckam, Felix",2010-01-01,"In this work, we compare for the first time the performance results of AlGaN/GaN HEMTs processed on a free-standing chemical vapor deposition (CVD) polycrystalline diamond substrate and a silicon substrate with nominally the same epitaxial AlGaN/GaN layers both grown by metal-organic chemical vapor deposition (MOCVD). The objective of this work is to compare the small signal and DC trends of the transistors fabricated on the different substrates as a function of temperature. Wafer scale results were obtained from both wafers for 2 x 150 μm devices with gate lengths of 0.18μm and 0.20μm for the silicon and CVD diamond wafers respectively.",https://zenodo.org/api/files/003d51df-f8d6-4220-a326-d60a24037eaa/article.pdf,pdf
4,DETERMINING THE INFLUENCE OF THE CONDITION OF ROCK-DESTROYING TOOLS ON THE ROCK CUTTING FORCE,10.15587/1729-4061.2020.195355,"Vasil Ivasiv, Andriy Yurych, Sergii Zabolotnyi, Lidiia Yurych, Vasyl Bui, Orest Ivasiv",2020-01-29,"At present, the most common tools for drilling operations are those rock-destroying ones that are equipped with cutting elements made from polycrystalline diamonds (PDC) and diamond carbide inserts (DCI). Given this, it is a relevant task to study the influence of the degree of wear of cutting elements on the strength and energy parameters of the process of rock destruction. In order to determine this influence, we have experimentally investigated the cutting process involving a single cutter under laboratory conditions. The mean values of the cutting force components (circular ((Рz) and normal (Рy)) have been established at the cutting depth 0.5; 1.0; 1.5; and 2.0 mm, at a varying degree of the cutting element wear (a flat of 0; 5.0; and 8.0 mm). We have determined the magnitude of cutting work and the specific energy of rock destruction. At a cutting depth of 0.5 mm, with an increase in the cutting element wear rate from 0 to 8 mm, the magnitude of work grows from 0.06376 to 0.121 N∙m. At a cutting depth of 2.0 mm, the magnitude of work increases from 0.624 to 3.603 N∙m. The energy intensity of the rock destruction process increases, with an increase in the cutting depth from 0.5 to 2.0 mm, from 3.88 kJ/m2 to 11.66 kJ/m2 for a sharp cutter. Based on the study results, we have built dependence charts of the average values of the cutting force components and its normal component (Рy) on cutting depth and the cutting element wear degree. The results obtained have shown a significant influence of the size of the wear flat on the increase in the process strength parameters, which is the basis for regulating a wear degree of cutting elements during drilling. We have established the tendency towards a growth in the resultant force and specific work of rock cutting by a cutting element with an increase in wear degree. This makes it possible to determine, based on the indicators of fluctuations in the instantaneous strength values during drilling of wells, or based on a change in power, the wear degree of the cutting elements, and to predict the probability of their destruction",https://zenodo.org/api/files/6dfe0ce2-16f7-4f9a-b8f9-ed2f3bbacc8b/Determining%20the%20influence%20of%20the%20condition%20of%20rock-destroying%20tools%20on%20the%20rock%20cutting%20force.pdf,pdf
5,Accelerating double pulse all-optical write/erase cycles in metallic ferrimagnets,10.5281/zenodo.6349558,"Felix Steinbach, Nele Stetzuhn, Dieter Engel, Unai Atxitia, Clemens von Korff Schmising, Stefan Eisebitt",2022-03-12,"All-optical switching of magnetic order presents a promising route toward faster and more energy efficient data storage. However, a realization in future devices is ultimately dependent on the maximum repetition rates of optically induced write/erase cycles. Here, we present two strategies to minimize the temporal separation of two consecutive femtosecond laser pulses to toggle the out-of-plane direction of the magnetization of ferrimagnetic rare-earth transition metal alloys. First, by systematically changing the heat transfer rates using either amorphous glass, crystalline silicon, or polycrystalline diamond substrates, we show that efficient cooling rates of the magnetic system present a prerequisite to accelerate the sequence of double pulse toggle switching. Second, we demonstrate that replacing the transition metal iron by cobalt leads to a significantly faster recovery of the magnetization after optical excitation allowing us to approach terahertz frequency of write/erase cycles with a minimum pulse-to-pulse separation of 7 ps.",https://zenodo.org/api/files/f50a18c4-c385-4ef9-b362-1963321de2aa/Diamond_2TM_simulation.txt,txt
6,Antibacterial and osteogenic activities of clindamycin-releasing mesoporous ailica/carboxymethyl chitosan composite hydrogels,10.5061/dryad.k0p2ngf88,"Sungkhaphan, Piyarat, Thavornyutikarn, Boonlom, Kaewkong, Pakkanun, Pongkittiphan, Veerachai, Pornsuwan, Soraya, Singhatanadgit, Weerachai, Janvikul, Wanida",2021-08-14,"Conventional treatment of jaw bone infection is often ineffective to control bacterial infection and enhance bone regeneration. Biodegradable composite hydrogels comprised carboxymethyl chitosan (CMCS) and clindamycin (CDM)-loaded mesoporous silica nanoparticles (MCM-41), possessing dual antibacterial activity and osteogenic potency, were developed in the present study. CDM was successfully loaded into both untreated and plasma-treated MCM-41 nanoparticles, denoted as (p)-MCM-41, followed by the incorporation of each of CDM-loaded (p)-MCM-41 into CMCS. The resulting CDM-loaded composite hydrogels, (p)-MCM-41-CDM-CMCS, demonstrated slow degradation rates (about 70% remaining weight after 14-day immersion), while the CDM-free composite hydrogel entirely disintegrated after 4-day immersion. The plasma treatment was found to improve drug loading capacity and slow down initial drug burst effect. The prolonged releases of CDM from both (p)-MCM-41-CDM-CMCS retained their antibacterial effect against Streptococcus sanguinis for at least 14 days in vitro. In vitro assessment of osteogenic activity showed that the CDM-incorporated composite hydrogel was cytocompatible to human mesenchymal stem cells (hMSCs) and induced hMSC mineralization via p38-dependent upregulated alkaline phosphatase activity. In conclusion, novel (p)-MCM-41-CDM-CMCS hydrogels with combined controlled release of CDM and osteogenic potency were successfully developed for the first time, suggesting their potential clinical benefit for treatments of intraoral bone infection.",https://zenodo.org/api/files/a7ee0227-2896-4001-b950-1585811cbf89/Data_set.xlsx,xlsx
7,Geranylgeraniol prevents zoledronic acid-mediated reduction of viable mesenchymal stem cells via induction of Rho-dependent YAP activation,10.5061/dryad.wstqjq2jq,"Singhatanadgit, Weerachai, Hankamolsiri, Weerawan, Janvikul, Wanida",2021-05-06,"Long-term use of zoledronic acid (ZA) increases the risk of medication-related osteonecrosis of the jaw (MRONJ). This may be attributed to ZA-mediated reduction of viable mesenchymal stem cells (MSCs). ZA inhibits protein geranylgeranylation, thus suppressing cell viability and proliferation. Geranylgeraniol (GGOH), which is a naturally found intermediate compound in the mevalonate pathway, has positive effects against ZA. However, precise mechanisms by which GGOH may help preserve stem cell viability against ZA are not fully understood. The objective of this study was to investigate the cytoprotective mechanisms of GGOH against ZA. The results showed that while ZA dramatically decreased the number of viable MSCs, GGOH prevented this negative effect. GGOH-rescued ZA-exposed MSCs formed mineralization comparable to that produced by normal MSCs. Mechanistically, GGOH preserved the number of viable MSCs by its reversal of ZA-mediated Ki67+ MSC number reduction, cell cycle arrest and apoptosis. Moreover, GGOH prevented ZA-suppressed RhoA activity and YAP activation. The results also established the involvement of Rho-dependent YAP and YAP-mediated CDK6 in the cytoprotective ability of GGOH against ZA. In conclusion, GGOH preserves a pool of viable MSCs with osteogenic potency against ZA by rescuing the activity of Rho-dependent YAP activation, suggesting GGOH as a promising agent and YAP as a potential therapeutic target for MRONJ. ",https://zenodo.org/api/files/10997e90-8d79-42e3-a880-8ede0fd918c3/Data_set_RSOS-202066.R2.xlsx,xlsx
8,Improving the technique for assessing the condition and predicting the wear of the rock destruction tool equipment,10.15587/1729-4061.2022.263532,"Jaroslav Grydzhuk, Andriy Dzhus, Andriy Yurych, Lidiia Yurych, Maksym Dorokhov, Andrii Livinskyi",2022-08-31,"To ensure the trouble-free operation of the rock-destroying tool, the peculiarities of its interaction with the rock at different stages of work must be additionally studied. Still unexplored in full is the relationship between the state of the equipment of the rock-destroying tool and the oscillatory processes during the operation of the drilling tool. The basic dependences for determining the wear indicators of the equipment of the rock-destroying tool have been proposed. The scheme for implementing the method of assessing the condition and predicting the wear of equipment, taking into account the peculiarities of its interaction with the rock, has been improved. Underlying its implementation is the presence of a law of change of at least one generalized coordinate of an arbitrary cross-section of a drilling tool. Bench experimental studies were carried out, according to the results of which the dependence of the depth of the face deepening on the mode parameters of drilling and the geometry of the equipment was established. It was found that the wear of the cutter by 1 mm causes a decrease in the amplitude of longitudinal oscillations by an average of 1.4 times. The obtained functions of deepening the face were used to determine the energy indicators of the process of rock destruction. Given the peculiarities of the implementation of the experiment, the work and power of the axial load for the destruction of the rocks of the pit were used for such indicators. It should also be noted that the construction of numerical models is necessary for a complete assessment and prediction of the wear of rock-destructive tools. They should reflect the mechanical system and provide the ability to obtain the values of parameters that are not determined by the results of a laboratory experiment.",https://zenodo.org/api/files/bbe39b16-7ede-43e0-bc8d-7c2446831a1b/Improving%20the%20technique%20for%20assessing%20the%20condition%20and%20predicting%20the%20wear%20of%20the%20rock%20destruction%20tool%20equipment.pdf,pdf
9,Crystallization properties of Cu2ZnGeSe4,10.1016/j.tsf.2018.12.015,"G. Brammertz, T. Kohl, J. De Wild, M. Meuris, B. Vermang, J. Poortmans",2019-01-31,"We have studied the crystallization reaction of polycrystalline Cu2ZnGeSe4 solar cell absorbers fabricated by H2Se selenization of sequentially deposited metal layer stacks. We have executed a stop experiment, stopping the crystallization reaction at different times during the process, then analyzing the subsequent X-ray diffraction patterns. We have found that mainly Cu3Ge and ZnSe phases form very rapidly at temperatures below 350°C. Depending on the order of the sequentially deposited metal layer stack, the formation reaction proceeds at different speeds. Putting the Ge layer in the bottom and the Cu layer on top leads to a very fast nucleation reaction of Cu2ZnGeSe4, leading to small grains that have obtained their final size already after 3 minutes of selenization at 460°C. The inverse stack with Ge on top and Cu in the bottom delays the nucleation of Cu2ZnGeSe4, leading to a somewhat slower formation reaction and larger Cu2ZnGeSe4 grains, which obtain their final grain size only after 15 minutes of selenization at 460°C.",https://zenodo.org/api/files/9d7b9a9e-0b4a-4dc9-aa53-cb0ead4be284/CZGSe_selenization_manuscript_Preprint.pdf,pdf
10,Application of diffraction method for determining the dimensions of structural elements in polycrystalline gadoline,10.5281/zenodo.2539528,Stepanenko A.,2019-01-15,"The size of the structural elements in polycrystalline materials formed during thermomechanical processing is one of the factors determining the physical and mechanical properties of metals and alloys. The formation of the crystallographic texture and the evolution of the blockiness of the crystal structure are still little studied in rare–earth metals. The article discusses the X-ray diffraction method for studying the mosaic crystallographic structure of gadolinium. Based on the analysis of the broadening of diffraction lines, the average size of coherent scattering regions was determined. The research results can serve as a basis for analyzing the physical and mechanical properties of metal samples and studying the dynamics of structural changes during thermomechanical processing.",https://zenodo.org/api/files/a913300b-d4a3-4604-8b1f-1190a4deb028/%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD%D0%B5%D0%BD%D0%BA%D0%BE%20%D0%90.%20%D0%92.%20.pdf,pdf
11,Silicium-Kohlenstoff (Carborundum),10.1002/ange.18930062105,"Mühlhaeuser, Otto",1893-11-01,n/a,https://zenodo.org/api/files/916a2624-a8ba-4617-8019-dee09c6bdc19/article.pdf,pdf
12,Über Silicium-Calciumlegierungen,10.1002/zaac.19090620111,"Tamaru, S.",1909-04-17,n/a,https://zenodo.org/api/files/c1461e7a-b2f3-4f9f-bc64-168519baf189/article.pdf,pdf
13,Silicium und Siliciummetalle,10.1002/ardp.18641700173,"Reich,",1864-01-01,n/a,https://zenodo.org/api/files/7bb7bb0f-ef50-434e-b960-77210fac62a8/article.pdf,pdf
14,Car dismantling,10.5281/zenodo.5704862,"Bellver, Joan",2019-06-12,Video of a complete dismantling process for a car to maximise material recovery and cost analysis.,https://zenodo.org/api/files/a0591da0-82f1-4101-8b30-488f495d452d/ECOBULK_BELLVER_CarDismantling.mp4,mp4
15,Comparison between results of optical and electrical measurements of free electron concentration in n-InAs specimens,10.3897/j.moem.7.3.76700,"Yugova, Tatyana G., Belov, Aleksandr G., Kanevskii, Vladimir E., Kladova, Evgeniya I., Knyazev, Stanislav N., Parfent'eva, Irina B.",2021-09-30,"A theoretical model has been developed for determining the free electron concentration in n-InAs specimens from characteristic points in far IR reflection spectra. We show that this determination requires plasmon-phonon coupling be taken into account, otherwise the measured electron concentration proves to be overestimated. A correlation between the electron concentration Nopt and the characteristic wavenumber ν+ has been calculated and proves to be well fit by a third order polynomial. The test specimens have been obtained by tin or sulfur doping of indium arsenide. The electron concentration in the specimens has been measured at room temperature using two methods: the optical method developed by the Authors (Nopt) and the conventional four-probe Hall method (the Van der Pau method, NHall). The reflecting surfaces of the specimens have been chemically polished or fine abrasive ground. The condition Nopt > NHall has been shown to hold for all the test specimens. The difference between the optical and the Hall electron concentrations is greater for specimens having polished reflecting surfaces. The experimental data have been compared with earlier data for n-GaAs. A qualitative model explaining the experimental data has been suggested.",https://zenodo.org/api/files/593bb133-9bed-40e9-918b-bc8e6ebf3dc7/MoEM_article_76700.pdf,pdf
16,"Modeling the Transport of Charge Carriers in the Active Devices MESFET, Based of GaInP by the Monte Carlo Method",10.5281/zenodo.1099336,"N. Massoum, A. Guen. Bouazza, B. Bouazza, A. El Ouchdi",2015-01-02,"The progress of industry integrated circuits in recent
years has been pushed by continuous miniaturization of transistors.
With the reduction of dimensions of components at 0.1 micron and
below, new physical effects come into play as the standard simulators
of two dimensions (2D) do not consider. In fact the third dimension
comes into play because the transverse and longitudinal dimensions
of the components are of the same order of magnitude. To describe
the operation of such components with greater fidelity, we must
refine simulation tools and adapted to take into account these
phenomena. After an analytical study of the static characteristics of
the component, according to the different operating modes, a
numerical simulation is performed of field-effect transistor with
submicron gate MESFET GaInP. The influence of the dimensions of
the gate length is studied. The results are used to determine the
optimal geometric and physical parameters of the component for their
specific applications and uses.",https://zenodo.org/api/files/ef2c052e-dfe4-4b28-a2c6-d89d68569ccb/10000556.pdf,pdf
17,Characterization of the Structure of Y-Ba-Cu-O Coated Conductors,10.1109/77.784864,"Foltyn, S. R., Kung, H. H.; Foltyn S. R.; Arendt P. N.; Maley, Maley, M. P., Arendt, P. N.",1999-06-01,"Transmission electron microscopy (TEM) has been applied to the microstructural investigation of YBa{sub 2}Cu{sub 3}O{sub 7-{delta}} (YBCO) thick films deposited on polycrystalline Ni-based metal substrates by pulsed laser deposition. The films were found to be strongly textured with c-axis oriented grains aligned perpendicular to the substrates. Despite the large average in-plane misorientation, as was estimated from selected area electron diffraction and x-ray diffraction, TEM inspection reveals colonies of submicron-sized grains with low angle tilt grain boundaries. The linkage of the colony structures may provide a continuous percolation pathway for the supercurrent transport in YBCO, which may provide the mechanism for the higher than expected critical current density J{sub c}. Periodic arrays of grain boundary dislocations were observed, which may serve as effective flux pinners.",https://zenodo.org/api/files/91e24a12-50bb-4190-b7ab-d2ead126a177/article.pdf,pdf
