,Titre,DOI,Auteurs,Date de publication,Abstract,Lien fichier,Type fichier
0,"PREPARATION, CHARACTERIZATION AND OXIDATION BEHAVIOR OF POLYMER DERIVED CERAMIC COATINGS WITH PASSIVE FILLERS",10.5281/zenodo.3379773,"Ivana Petríková, Milan Parchovianský, Peter Švančárek, Gunter Motz, Dagmar Galusková, Dušan Galusek",2018-10-29,"The work is aimed at the development of an oxidation/corrosion resistant environmental barrier coating system on steel substrates. After stabilizing the coating slurries, double layers consisting of a bond coat applied by dip coating and a top coat with passive fillers deposited by spray coating were prepared on stainless steel substrates. After thermal treatment in air at 800 °C, uniform and crack-free composite coatings on stainless steel with a thickness up to 90 μm were prepared. The high temperature oxidation behavior of coated and uncoated samples in atmosphere of synthetic air was investigated at the temperatures up to 1000 °C. The tested layers provide effective protection from oxidation at 900 °C and 950 °C, while no significant corrosion damage was observed.",https://zenodo.org/api/files/42a7183b-8b25-4f4f-aa12-5ba956b6c14c/PREPARATION%2C%20CHARACTERIZATION%20AND%20OXIDATION%20BEHAVIOR%20OF%20POLYMER%20DERIVED%20CERAMIC%20COATINGS%20WITH%20PASSIVE%20FILLERS.pdf,pdf
1,Probabilistic and Sensitive Analysis of the Secondary Air System of a Two-Spool Engine,10.5281/zenodo.1344966,"Deng, Shuangguo, Wang, Daijun, Chen, Xiao",2018-08-14,"The present investigation aims at performing a probabilistic and sensitive analysis of a secondary air system for a two-spool engine. Through this analysis, the robust of secondary air system could be gained and the most sensitive geometric parameters are found. Furthermore, the more restrict mechanical tolerance could be demanded by the designer of secondary air system.
An in-house code called ASUS was developed for probabilistic and sensitive analysis, which is based on Monte Carlo Simulation method (MCS). The analysis model was based on the deterministic secondary air system network for a two-spool engine with take-off condition with all geometric parameters, including seals, gaps, holes and tubes. These parameters were normally distributed based on the real geometric tolerances to form the probabilistic inputs. The boundary condition was treated in two ways; one is constant while the other is normally distributed with an assumed change range ±5%. Probabilistic and sensitive analyses were carried out on these two cases. Through the analyses, in both cases the rim seal after 1st rotor is sensitive to the mechanical tolerance and boundary change. Therefore, the special attention should be paid to this flow path.",https://zenodo.org/api/files/5e2267c7-24c8-4a48-ba7b-4075bb840ece/GPPS-NA-2018-0080.pdf,pdf
2,Investigation of Titanium Oxide Layer in Thermal-Electrochemical Anodizing of Ti6Al4V Alloy,10.5281/zenodo.1330291,"Z. Abdolldhi, A. A. Ziaee M., A. Afshar",2008-08-21,"In this paper the combination of thermal oxidation and
electrochemical anodizing processes is used to produce titanium
oxide layers. The response of titanium alloy Ti6Al4V to oxidation
processes at various temperatures and electrochemical anodizing in
various voltages are investigated. Scanning electron microscopy
(SEM); X-Ray Diffraction (XRD) and porosity determination have
been used to characterize the oxide layer thickness, surface
morphology, oxide layer-substrate adhesion and porosity. In the first
experiment, samples modified by thermal oxidation process then
followed by electrochemical anodizing. Second experiment consists
of surfaces modified by electrochemical anodizing process and then
followed by thermal oxidation. The first method shows better
properties than other one. In second experiment, Surfaces modified
were achieved by thicker and more adherent thick oxide layers on
titanium surface. The existence of an electrochemical anodized oxide
layer did not improve the adhesion of thermal oxide layer. The high
temperature, thermal formation of an oxide layer leads to a coarse
oxide grain morphology and a complete oxidative particle. In
addition, in high temperature oxidation porosity content is increased.
The oxide layer of thermal oxidation and electrochemical anodizing
processes; on Ti–6Al–4V substrate was covered with different
colored oxide layers.",https://zenodo.org/api/files/3511d669-1146-4a70-bbd9-ad548286d467/3424.pdf,pdf
3,The Role of Thermally Grown Oxide in the Failure Thermal Barrier Coatings for Gas Turbine Engine Applications,10.5281/zenodo.1345001,"Pankov, Vladimir, Patnaik, Prakash C., Chen, Kuiying",2018-05-07,"Thermal barrier coatings (TBCs) are widely used in gas turbine engines for propulsion and power generation to maximize engine operating temperature and fuel efficiency. TBCs comprise primarily three major components: the ceramic top coat, the intermetallic bond coat and a thin layer of a thermally grown oxide (TGO) formed at the bond coat/top coat interface. It was demonstrated that the TGO layer plays a critical role in determining the TBC life time with many TBC failure events occurring with its direct involvement. However, the actual mechanisms that govern TBC degradation and failure are still not fully understood in terms of the TGO role and the effects of its properties on the failure process. Stress analysis and TBC life time modelling were used in this study to demonstrate that the TGO morphology, its specific mechanical and thermal properties significantly affect the degradation modes and failure behaviour of the entire TBC system while the particular failure mechanisms differ depending on the ceramic top coat fabrication process. In this paper, the effect of changes in the TGO layer during thermal cycling has been theoretically investigated for TBC with top coats fabricated by atmospheric plasma spray and electron be am physical vapour deposition and the differences in their degradation and failure have been discussed.",https://zenodo.org/api/files/fb2d69f8-3a81-43d8-ab66-622aafb7761a/GPPS-NA-2018-0161.pdf,pdf
4,Influence of Cyclic Thermal Loading on Fatigue Behavior of Thermal Barrier Coatings,10.5281/zenodo.1082754,"Vidyasagar H. N., S. Gopal Prakash, Shivrudraiah, K. V. Sharma",2007-08-20,"Thermally insulating ceramic coatings also known as
thermal barrier coatings (TBCs) have been essential technologies to
improve the performance and efficiency of advanced gas turbines in
service at extremely high temperatures. The damage mechanisms of
air-plasma sprayed YSZ thermal barrier coatings (TBC) with various
microstructures were studied by microscopic techniques after thermal
cycling. The typical degradation of plasma TBCs that occurs during
cyclic furnace testing of an YSZ and alumina coating on a Titanium
alloy are analyzed. During the present investigation the effects of
topcoat thickness, bond coat oxidation, thermal cycle lengths and test
temperature are investigated using thermal cycling. These results
were correlated with stresses measured by a spectroscopic technique
in order to understand specific damage mechanism. The failure
mechanism of former bond coats was found to involve fracture
initiation at the thermally grown oxide (TGO) interface and at the
TGO bond coat interface. The failure mechanism of the YZ was
found to involve combination of fracture along the interface between
TGO and bond coat.",https://zenodo.org/api/files/ddfb7080-5f4b-4961-9f93-6699d7e57ab0/14317.pdf,pdf
6,Photocatalytic Cleaning Performance of Air Filters for a Binary Mixture,10.5281/zenodo.1108945,"Lexuan Zhong, Chang-Seo Lee, Fariborz Haghighat, Stuart Batterman, John C. Little",2015-08-03,"Ultraviolet photocatalytic oxidation (UV-PCO)
technology has been recommended as a green approach to health
indoor environment when it is integrated into mechanical ventilation
systems for inorganic and organic compounds removal as well as
energy saving due to less outdoor air intakes. Although much research
has been devoted to UV-PCO, limited information is available on the
UV-PCO behavior tested by the mixtures in literature. This project
investigated UV-PCO performance and by-product generation using a
single and a mixture of acetone and MEK at 100 ppb each in a
single-pass duct system in an effort to obtain knowledge associated
with competitive photochemical reactions involved in. The
experiments were performed at 20 % RH, 22 °C, and a gas flow rate of
128 m3/h (75 cfm). Results show that acetone and MEK mutually
reduced each other's PCO removal efficiency, particularly negative
removal efficiency for acetone. These findings were different from
previous observation of facilitatory effects on the adsorption of
acetone and MEK on photocatalyst surfaces.",https://zenodo.org/api/files/7ebaeef3-1fb5-4208-93eb-0cc40247ac4d/10002437.pdf,pdf
7,Improved Air Processability of Organic Photovoltaics Using a Stabilizing Antioxidant to Prevent Thermal Oxidation,10.1021/acs.jpcc.1c07050,"Steinberger, Marc, Distler, Andreas, Brabec, Christoph J., Egelhaaf, Hans-Joachim",2021-12-21,"During the production of organic solar cells, the exposure of constituting materials and resulting devices to light, heat, oxygen and water is a potential source of degradation. We show that thermo-oxidation of the active materials occurs upon annealing the active layer or upon stirring the active materials solutions in air at elevated temperatures. By comparing various blends of donor polymers with fullerene or non-fullerene acceptors, the fullerene is identified to be the most susceptible component to thermal oxidation in both film and solution, while the polymer remains unaffected. In both cases, the effect on the photovoltaic device performance consists predominantly in a decreased short-circuit current (JSC), suggesting that the underlying degradation mechanism is the same in the solid state and in solution. In addition, we find that thermo-oxidation of the active layer during annealing of the device can be decelerated by blending nickel(II) dibutyldithiocarbamate (Ni(dtc)2) as antioxidant additive into the active layer. While small concentrations of additive stabilize the JSC and therefore the power conversion efficiency, higher contents negatively affect device performance. On the other hand, thermo-oxidation of the active materials in solution during stirring in air at elevated temperatures can be avoided for several hours by adding as little as 0.5% of Ni(dtc)2. The observation that the antioxidant is consumed during stabilization of the active materials suggests a sacrificial protection mechanism.",https://zenodo.org/api/files/79b34e74-fb9d-4912-9915-9a127583cde7/Steinberger%2C%20Improved%20air%20Processability%20of%20Organic%20Photovoltaics%2C%20JPC%20C%20126%282022%2922.pdf,pdf
8,NiO-CeO2 Nano-Catalyst for the Removal of Priority Organic Pollutants from Wastewater through Catalytic Wet Air Oxidation at Mild Conditions,10.5281/zenodo.1124653,"Anushree, Chhaya Sharma, Satish Kumar",2016-04-01,"Catalytic wet air oxidation (CWAO) is normally carried out at elevated temperature and pressure. This work investigates the potential of NiO-CeO2 nano-catalyst in CWAO of paper industry wastewater under milder operating conditions of 90 °C and 1 atm. The NiO-CeO2 nano-catalysts were synthesized by a simple co-precipitation method and characterized by X-ray diffraction (XRD), before and after use, in order to study any crystallographic change during experiment. The extent of metal-leaching from the catalyst was determined using the inductively coupled plasma optical emission spectrometry (ICP-OES). The catalytic activity of nano-catalysts was studied in terms of total organic carbon (TOC), adsorbable organic halides (AOX) and chlorophenolics (CHPs) removal. Interestingly, mixed oxide catalysts exhibited higher activity than the corresponding single-metal oxides. The maximum removal efficiency was achieved with Ce40Ni60 catalyst. The results indicate that the CWAO process is efficient in removing the priority organic pollutants from wastewater, as it exhibited up to 59% TOC, 55% AOX, and 54 % CHPs removal.",https://zenodo.org/api/files/f5fdfdd7-4102-46b1-af99-2ea1b6cccb94/10004605.pdf,pdf
9,Hybrid Advanced Oxidative Pretreatment of Complex Industrial Effluent for Biodegradability Enhancement,10.5281/zenodo.1111945,"K. Paradkar, S. N. Mudliar, A. Sharma, A. B. Pandit, R. A. Pandey",2016-01-03,"The study explores the hybrid combination of Hydrodynamic Cavitation (HC) and Subcritical Wet Air Oxidation-based pretreatment of complex industrial effluent to enhance the biodegradability selectively (without major COD destruction) to facilitate subsequent enhanced downstream processing via anaerobic or aerobic biological treatment. Advanced oxidation based techniques can be less efficient as standalone options and a hybrid approach by combining Hydrodynamic Cavitation (HC), and Wet Air Oxidation (WAO) can lead to a synergistic effect since both the options are based on common free radical mechanism. The HC can be used for initial turbulence and generation of hotspots which can begin the free radical attack and this agitating mixture then can be subjected to less intense WAO since initial heat (to raise the activation energy) can be taken care by HC alone. Lab-scale venturi-based hydrodynamic cavitation and wet air oxidation reactor with biomethanated distillery wastewater (BMDWW) as a model effluent was examined for establishing the proof-of-concept. The results indicated that for a desirable biodegradability index (BOD: COD - BI) enhancement (up to 0.4), the Cavitation (standalone) pretreatment condition was: 5 bar and 88 min reaction time with a COD reduction of 36 % and BI enhancement of up to 0.27 (initial BI - 0.17). The optimum WAO condition (standalone) was: 150oC, 6 bar and 30 minutes with 31% COD reduction and 0.33 BI. The hybrid pretreatment (combined Cavitation + WAO) worked out to be 23.18 min HC (at 5 bar) followed by 30 min WAO at 150oC, 6 bar, at which around 50% COD was retained yielding a BI of 0.55. FTIR & NMR analysis of pretreated effluent indicated dissociation and/or reorientation of complex organic compounds in untreated effluent to simpler organic compounds post-pretreatment.",https://zenodo.org/api/files/2c4db9dc-2037-4ea4-a5cc-8c95503f8456/10003841.pdf,pdf
10,Efficiency and energy modelling for PVT air collector with extended heat transfer area: a review,10.11591/ijpeds.v10.i4.pp2029-2036,"Ahmad Fudholi, Mariyam Fazleena Musthafa, Ivan Taslim, Merita Ayu Indrianti, Intan Noviantari Manyoe, Mohd. Yusof Othman",2019-12-01,"Solar energy is renewable and environment friendly and has been widely used in electricity generation and thermal energy through photovoltaic thermal (PVT) system. This system is beneficial in terms of maximum energy generation and cost of usage. The growing concern on energy sources and their usage has increased the significance and demand for PVT collectors. A PVT air collector consists of a PV panel and a thermal collector system. In PVT air collector, electricity and thermal energy are generated simultaneously. This review focuses on efficiency and energy modelling for PVT air collector with extended heat transfer area. Findings of this review indicated that PVT air collector with extended heat transfer area produced PVT efficiency higher than conventional PVT air collector. The thermal efficiency of PVT air collector for with and without extended heat transfer area are 21-83% and 12-70%, respectively, which the improvement of thermal efficiency is 15.7-42.8%.",https://zenodo.org/api/files/d4cfa145-7cf0-4ef1-8d5c-041581fbc69e/34%2014880.pdf,pdf
