,Titre,DOI,Auteurs,Date de publication,Abstract,Lien fichier,Type fichier
0,Hybrid Sol-Gel Coatings: Erosion-Corrosion protection,10.5281/zenodo.1199601,"Figueira, R. B.",2018-01-01,"The properties and wide application range of organic-inorganic hybrid (O-IH) sol-gel materials have attracted significant attention over the past decades. The combination of organic polymers and inorganic materials in a single-phase provides exceptional possibilities to tailor electrical, optical and mechanical properties concerning diverse applications. This unlimited design concept has led to the development of diverse coatings for several applications such as glasses, and metals to mitigate mechanical abrasion, erosion and corrosion. This class of materials could be easily obtained by sol-gel method at mild synthesis conditions. Furthermore, the large variety of available chemical precursors allows producing a diversity of coatings with tuned mechanical and thermal properties. This chapter will introduce the fundamentals of the sol-gel method to produce O-IH protective thin coatings and discuss the methodologies used to apply these materials onto different metallic substrates for erosion and corrosion protection.",https://zenodo.org/api/files/a1205a0d-0b91-43f5-98d8-7d103e043ced/article.pdf,pdf
1,Influence of various coating techniques on the corrosion resistive behavior in Ringer's solution,10.5281/zenodo.5702605,"U. Vijayalakshmi, S. Rajeswari",2015-05-01,"Materials Chemistry Division, School of Advanced Sciences, VIT University, Vellore-632 014,
Tamilnadu, India
E-mail : vijayalakshmi.u@vit.ac.in, lakesminat@yahoo.com
Sol-gel silica glass has a significant effect on the microstructural and mechanical development of the implant materials. Sol-gel method is a versatile method to develop different types of oxide coatings on a large, curved substrates with high homogeneity and low sintering temperatures. In order to enhance the corrosion resistance behavior various types of oxide based, hybrid coatings have been studied. There are a number of interesting studies including the biological functions; biomineralisation with excellent bioactive ability and mechanical strength makes it suitable for biomedical applications. The aim of the work is to enhance the corrosion resistive behavior of the coatings using different strategies such as EPD method, spin coating and biomimetic coating. Silica glass is prepared at a molar ratio of H2O/TEOS (Tetra Ethyl Ortho Silicate) and the obtained powder was characterized by FT-IR, XRD and SEM analysis. It was found that the sol-gel spin coatings have shown excellent thermal stability, oxidation control and enhanced corrosion resistance on metal substrates. The ability to passivate the metal substrates during coating has pronounced effect on corrosion resistance. The corrosion resistance behavior of the coatings was determined by (1) open-circuit potential versus time of exposure, (2) electrochemical impedance spectroscopy, (3) cyclic polarization in Ringer’s solution.",https://zenodo.org/api/files/9d0f1ba8-6a36-4f61-9ef2-45ea1dc70c72/687-690.pdf,pdf
2,Improving corrosion protection of Mg alloys (AZ31B) using graphene-based hybrid coatings,10.5281/zenodo.5569107,"Afsharimani N., Talimian A., Merino E., Durán A., Castro Y., Galusek D.",2021-09-19,"In the present work, a study was carried out to compare the morphology andelectrochemical properties of pure and graphene-modified hybrid silica sol–gel coatings deposited on anodized AZ31B magnesium alloys. The precursorsolution was prepared using tetraethoxysilane (TEOS) and 3-glycidoxypropyl-trimethoxysilane (GPTMS), with the addition of chemically modified graphenenanosheets (GN-chem). Homogeneous and adherent coatings were obtainedusing GPTMS-TEOS (GT) and GPTMS-TEOS-GN-chem (GT/GN-chem) solu-tions with uniform thickness around 4μm. Raman, SEM images and EDS analy-ses confirmed the presence of graphene nanosheets in the coatings. Potentiody-namic polarization results using 0.05 M NaCl electrolyte solution showed thatgraphene containing silica coatings significantly improve the corrosion resis-tance of AZ31B alloys. In addition, a significant passive region was observed forGT/GN-chem coatings.",https://zenodo.org/api/files/f99fd6f7-83ae-459d-90f0-238ea40db739/Improving%20corrosion%20protection%20of%20Mg%20alloys%20%28AZ31B%29%20usinggraphene-based%20hybrid%20coatings.pdf,pdf
3,Biocompatibility of bismuth silicate coatings deposited on 316L stainless steel by sol-gel process,10.17533/udea.redin.n84a04,"Jorge Hernando Bautista-Ruiz, Jhon Jairo Olaya-Flórez, Willian Arnulfo Aperador-Chaparro",2017-09-25,"Bismuth silicate, (BSO) thin films have been fabricated by sol–gel process. The stable sol was synthesized by using bismuth nitrate (III) pentahydrate and tetraethyl orthosilicate (TEOS). The films were deposited by spin-coating at 1500 rpm on Stainless Steel 316L. The films were characterized by Atomic Force Microscopy (AFM), Scanning Electron Microscopy (SEM), X-ray diffraction (XRD) besides the measured of the films thickness. This study aimed to evaluate the cell adhesion and cellular proliferation of osteoblast cells on BSO thin films and substrate 316L by MTT assay. It is concluded that the growth of osteoblasts is homogeneous in the surface of the coatings indicating that the medium offered by the films does not present active cytotoxicity and exceed in large number the level of cellular growth compared to Stainless Steel.",https://zenodo.org/api/files/d85e2fb5-b4f2-4b51-9f00-a1d63fd433e8/3.%20Biocompatibility%20of%20bismuth%20silicate%20coatings.pdf,pdf
4,Corrosion resistance hybrid sol gel coating: its synthesis and characterizations,10.5281/zenodo.3606393,"Kamble N., Castro Y., Durán A., Galusek D.",2019-11-29,abstract of conference paper,https://zenodo.org/api/files/b2f152fd-7ef6-46c4-8d36-3fbde720940f/Corrosion%20resistance%20hybrid%20sol%20gel%20coating%20-%20its%20synthesis%20and%20characterizations.pdf,pdf
5,Haemocompatibility of Surface Modified AISI 316L Austenitic Stainless Steel Tested in Artificial Plasma,10.5281/zenodo.1092327,"W. Walke, J. Przondziono, K. Nowińska",2014-04-03,"The study comprises evaluation of suitability of passive layer created on the surface of AISI 316L stainless steel for products that are intended to have contact with blood. For that purpose, prior to and after chemical passivation, samples were subject to 7 day exposure in artificial plasma at the temperature of T=37°C. Next, tests of metallic ions infiltration from the surface to the solution were performed. The tests were performed with application of spectrometer JY 2000, by Yobin – Yvon, employing Inductively Coupled Plasma Atomic Emission Spectrometry (ICP-AES). In order to characterize physical and chemical features of electrochemical processes taking place during exposure of samples to artificial plasma, tests with application of electrochemical impedance spectroscopy were suggested. The tests were performed with application of measuring unit equipped with potentiostat PGSTAT 302n with an attachment for impedance tests FRA2. Measurements were made in the environment simulating human blood at the temperature of T=37°C. Performed tests proved that application of chemical passivation process for AISI 316L stainless steel used for production of goods intended to have contact with blood is well-grounded and useful in order to improve safety of their usage.",https://zenodo.org/api/files/b3bc404a-2f73-462f-bce6-7d6c91c54549/9998150.pdf,pdf
6,Transparent SiO2-GdF3 sol–gel nano-glass ceramics for optical applications,10.1007/s10971-018-4693-z,"J. J. Velázquez, J. Mosa, G. Gorni, R. Balda, J. Fernández, L. Pascual, A. Durán, Y. Castro",2018-06-01,"transparent SiO2-GdF3 sol–gel nano-glass ceramics for optical
applications",Inconnu,Inconnu
7,Novel synthetic approach to the preparation of single-phase BixLa1−xMnO3+δ solid solutions,10.1007/s10971-019-05098-w,"Dovydas Karoblis, Kestutis Mazeika, Dalis Baltrunas, Anna Lukowiak, Wieslaw Strek, Aleksej Zarkov, Aivaras Kareiva",2019-08-03,"In this study, the BixLa1−xMnO3+δ solid solutions (x from 0 to 0.65) were synthesized using sol–gel combustion method with citric acid as a fuel and complexing agent. It was shown that changes in chemical composition of the materials lead to the evolution of crystal structure, morphology, and magnetic properties. The thermal behavior of precursor gel was investigated by thermogravimetric and differential scanning calorimetry (TG-DSC) measurements. X-ray diffraction (XRD) analysis demonstrated that all samples were monophasic. The Rietveld analysis showed that the structure can be indexed by trigonal or cubic unit cell depending on Bi3+ content. Scanning electron microscopy (SEM) was used to evaluate morphological features of the synthesized materials and revealed that Bi3+ ions significantly promote growth of the grains. The sol–gel-derived BixLa1−xMnO3+δ specimens were also characterized by FT-IR spectroscopy and magnetization measurements, which showed a clear correlation between magnetic properties and crystal structure of the materials.",https://zenodo.org/api/files/71902e83-1668-40b3-9036-a6e6d7e5b8d9/Novel%20synthetic%20approach%20to%20the%20preparation%20of%20single-phase%20BixLa1%E2%88%92xMnO3%2B%CE%B4%20solid%20solutions.pdf,pdf
8,Staged Development of Modified Silicon Dioxide Films,10.5281/zenodo.3745680,"Arkles, Barry, Berry, Donald H, Figge, Lisa K., Composto, Russell, Chiou, Terry, Colazzo, Hydee, Wallace, William E",1997-02-01,"The hydrolytic generation of SiO2 films from chlorosilanes or alkoxysilanes is interrupted by incorporating labile organic groups which stop SiO2 formation at a processable prepolymer stage. The monomers for the prepolymer have electron withdrawing substituents in the β-position. The organic groups are removed from the prepolymer at low temperature, extruding ethylene. The formation of SiO2 proceeds by intramolecular condensation of the electronegative substituents which are now in a hydrolytically unstable bond
with silicon and hydroxyl groups or ambient moisture. Films of the prepolymer spun onto silicon wafers are converted into
uniform SiO2-rich films at temperatures between 150–400C.",https://zenodo.org/api/files/3201d075-f4de-4b5b-8592-29b033908521/Staged%20Development%20of%20Modified%20Silicon%20Dioxide%20Films.pdf,pdf
9,Antibacterial wollastonite supported excellent proliferation and osteogenic differentiation of human bone marrow derived mesenchymal stromal cells,10.1007/s10971-021-05657-0,"Senthil Kumar Venkatraman, Rajan Choudhary, Krishnamurithy Genasan, Malliga Raman Murali, Hanumantha Rao Balaji Raghavendran, Tunku Kamarul, Anushree Suresh, Jayanthi Abraham, Seshasailam Venkateswaran,, Abel Livingston, Sasikumar Swamiappan",2021-11-19,"Biocompatibility and bacterial infections are the primary concerns associated with the current bone graft substitutes. The application of wollastonite-based scaffolds for bone tissue engineering becomes a novel subject of interest. In the present study, a single phasic wollastonite scaffold was synthesised using citric acid-based sol–gel combustion route. Its physicochemical characteristics, antibacterial properties as well as its biocompatibility and osteogenic induction effect on human bone marrow derived stromal cells (hBMSCs) are yet to be explored. The TGA/DTA, XRD and SEM/EDX confirmed the characteristics of wollastonite. The antibacterial test indicated wollastonite inhibition of 47.81% and 45.54% for gram-positive, Staphylococcus aureus and Staphylococcus epidermidis and 47.04% and 46.07% for gram-negative, Escherichia coli and Pseudomonas aeruginosa bacterial strains, respectively. The SEM micrographs demonstrated an excellent attachment of hBMSCs on wollastonite and comparable to commercial hydroxyapatite (cHA) scaffold. The alamar blue cell proliferation assay confirmed 1.7- and 1.8-fold significant increase in hBMSCs seeded on wollastonite and cHA scaffold, respectively, on day 14 as compared with day 1. The immunohistochemistry analysis on Type-I collagen (Col1) and Bone morphogenetic protein-2 (BMP2) expression on day 14 confirmed the osteogenic differentiation of hBMSCs seeded on wollastonite and comparable with cHA scaffold. In conclusion, wollastonite scaffold has a greater potential to substitute bone grafts in orthopaedic applications.",https://zenodo.org/api/files/84b86e2f-d2b4-4242-bc1b-4d4a6fdc1852/Antibacterial%20wollastonite%20supported%20excellent%20proliferation.pdf,pdf
