,Titre,DOI,Auteurs,Date de publication,Abstract,Lien fichier,Type fichier,Abstract_lemm
0,Hydrogen Generation by Accelerating Aluminum Corrosion in Water with Alumina,10.5281/zenodo.1061180,"J. Skrovan, A. Alfantazi, T. Troczynski",2011-07-22,"For relatively small particles of aluminum (<60 μm),
a measurable percentage of the aluminum (>5%) is observed to
corrode before passivation occurs at moderate temperatures (>50oC)
in de-ionized water within one hour. Physical contact with alumina
powder results in a significant increase in both the rate of corrosion
and the extent of corrosion before passivation. Whereas the resulting
release of hydrogen gas could be of commercial interest for portable
hydrogen supply systems, the fundamental aspects of Al corrosion
acceleration in presence of dispersed alumina particles are equally
important. This paper investigates the effects of various amounts of
alumina on the corrosion rate of aluminum powders in water and the
effect of multiple additions of aluminum into a single reactor.",https://zenodo.org/api/files/f68d4c4c-4d1a-4ab3-a360-4e586d0c6c09/5508.pdf,pdf,"for relatively small particle of aluminum ( < 60 μm ) , 
 a measurable percentage of the aluminum ( > 5 % ) be observe to 
 corrode before passivation occur at moderate temperature ( > 50oc ) 
 in de - ionized water within one hour . physical contact with alumina 
 powder result in a significant increase in both the rate of corrosion 
 and the extent of corrosion before passivation . whereas the result 
 release of hydrogen gas could be of commercial interest for portable 
 hydrogen supply system , the fundamental aspect of Al corrosion 
 acceleration in presence of disperse alumina particle be equally 
 important . this paper investigate the effect of various amount of 
 alumina on the corrosion rate of aluminum powder in water and the 
 effect of multiple addition of aluminum into a single reactor ."
1,INFLUENCE OF THE PARAMETERS OF THE STRUCTURE OF METALLIC MATERIALS ON THE CORROSION RESISTANCE OF MINING MACHINE PARTS,10.5281/zenodo.5901678,"Apakashev Rafail, Khazin Mark",2021-12-30,"To improve the reliability and durability of mining equipment, it is promising to use micro- and nanostructured metals and alloys, as well as metal-matrix composites. Ordinary and nanostructured samples of aluminum, copper, bronze C95200, an aluminum-magnesium alloy 518.0, and an aluminum-matrix dispersion-reinforced composite containing 6.3 wt% titanium were studied. Structuring processing of metallic materials was carried out in the liquid phase state. The aluminum-matrix composite was synthesized by powder metallurgy. A model electrolyte solution, containing 30 g / L NaCl and an addition of acetic acid to pH = 4.0, was used as a corrosive medium. Corrosion resistance test base was 144 hours, temperature + 22 ° C, the volume of the solution in the cell with three samples was 500 ml. The relative calculated test error was 5%. A continuous uniform distribution of corrosion damage to the metal surface is observed for all studied samples. In this case, the corrosion rate (П, mm / year) of nanostructured metals and alloys samples is approximately 11% less than the corrosion rate of the same metals and alloys samples that have not undergone structuring treatment. For the aluminum matrix composite, it was noted that the dispersed reinforcement of aluminum with titanium provides an increase in the corrosion resistance of the matrix metal by 9.6%. The results of the conducted studies indicate an increased corrosion resistance of nanostructured metallic materials and an aluminum-matrix composite, which is important when they are used as part of equipment operated in a corrosive environment.",Inconnu,Inconnu,"to improve the reliability and durability of mining equipment , it be promise to use micro- and nanostructure metal and alloy , as well as metal - matrix composite . ordinary and nanostructure sample of aluminum , copper , bronze c95200 , an aluminum - magnesium alloy 518.0 , and an aluminum - matrix dispersion - reinforce composite contain 6.3 wt% titanium be study . structure processing of metallic material be carry out in the liquid phase state . the aluminum - matrix composite be synthesize by powder metallurgy . a model electrolyte solution , contain 30 g / L NaCl and an addition of acetic acid to pH = 4.0 , be use as a corrosive medium . corrosion resistance test base be 144 hour , temperature + 22 ° c , the volume of the solution in the cell with three sample be 500 ml . the relative calculated test error be 5 % . a continuous uniform distribution of corrosion damage to the metal surface be observe for all study sample . in this case , the corrosion rate ( П , mm / year ) of nanostructure metal and alloy sample be approximately 11 % less than the corrosion rate of the same metal and alloy sample that have not undergo structure treatment . for the aluminum matrix composite , it be note that the dispersed reinforcement of aluminum with titanium provide an increase in the corrosion resistance of the matrix metal by 9.6 % . the result of the conduct study indicate an increase corrosion resistance of nanostructure metallic material and an aluminum - matrix composite , which be important when they be use as part of equipment operate in a corrosive environment ."
2,Evaluation of Corrosion Property of Aluminium-Zirconium Dioxide (AlZrO2) Nanocomposites,10.5281/zenodo.1127108,"M. Ramachandra, G. Dilip Maruthi, R. Rashmi",2016-09-02,"This paper aims to study the corrosion property of aluminum matrix nanocomposite of an aluminum alloy (Al-6061) reinforced with zirconium dioxide (ZrO2) particles. The zirconium dioxide particles are synthesized by solution combustion method. The nanocomposite materials are prepared by mechanical stir casting method, varying the percentage of n-ZrO2 (2.5%, 5% and 7.5% by weight). The corrosion behavior of base metal (Al-6061) and Al/ZrO2 nanocomposite in seawater (3.5% NaCl solution) is measured using the potential control method. The corrosion rate is evaluated by Tafel extrapolation technique. The corrosion potential increases with the increase in wt.% of n-ZrO2 in the nanocomposite which means the decrease in corrosion rate. It is found that on addition of n-ZrO2 particles to the aluminum matrix, the corrosion rate has decreased compared to the base metal.",https://zenodo.org/api/files/13a5f22b-1bc1-49bb-ae7d-1c268e9b8b37/10005637.pdf,pdf,"this paper aim to study the corrosion property of aluminum matrix nanocomposite of an aluminum alloy ( al-6061 ) reinforce with zirconium dioxide ( ZrO2 ) particle . the zirconium dioxide particle be synthesize by solution combustion method . the nanocomposite material be prepare by mechanical stir cast method , vary the percentage of n - zro2 ( 2.5 % , 5 % and 7.5 % by weight ) . the corrosion behavior of base metal ( al-6061 ) and Al / ZrO2 nanocomposite in seawater ( 3.5 % NaCl solution ) be measure use the potential control method . the corrosion rate be evaluate by Tafel extrapolation technique . the corrosion potential increase with the increase in wt.% of n - zro2 in the nanocomposite which mean the decrease in corrosion rate . it be find that on addition of n - zro2 particle to the aluminum matrix , the corrosion rate have decrease compare to the base metal ."
3,Experimental Study on Using the Aluminum Sacrificial Anode as a Cathodic Protection for Marine Structures,10.5281/zenodo.1340022,"A. Radwan, A. Elbatran, A. Mehanna, M. Shehadeh",2017-01-27,"The corrosion is natural chemical phenomenon that is applied in many engineering structures. Hence, it is one of the important topics to study in the engineering research. Ship and offshore structures are most exposed to corrosion due to the presence of corrosive medium of air and the seawater. Consequently, investigation of the corrosion behavior and properties over ship and offshore hulls is one of the important topics to study in the marine engineering research. Using sacrificial anode is the most popular solution for protecting marine structures from corrosion. Hence, this research investigates the extent of corrosion between the composite ship model and relative velocity of water, along with the sacrificial aluminum anode consumption and its degree of protection in seawater. In this study, the consumption rate of sacrificial aluminum anode with respect to relative velocity at different Reynold's numbers was studied experimentally, and it was found that, the degree of cathodic protection represented by the cathode potential at a given distance from the aluminum anode was decreased slightly with increment of the relative velocity.",https://zenodo.org/api/files/984984b2-6994-4e1e-9534-f9747e5b9d9d/10006354.pdf,pdf,"the corrosion be natural chemical phenomenon that be apply in many engineering structure . hence , it be one of the important topic to study in the engineering research . ship and offshore structure be most expose to corrosion due to the presence of corrosive medium of air and the seawater . consequently , investigation of the corrosion behavior and property over ship and offshore hull be one of the important topic to study in the marine engineering research . use sacrificial anode be the most popular solution for protect marine structure from corrosion . hence , this research investigate the extent of corrosion between the composite ship model and relative velocity of water , along with the sacrificial aluminum anode consumption and its degree of protection in seawater . in this study , the consumption rate of sacrificial aluminum anode with respect to relative velocity at different Reynold 's number be study experimentally , and it be find that , the degree of cathodic protection represent by the cathode potential at a give distance from the aluminum anode be decrease slightly with increment of the relative velocity ."
4,Colocasia Esculenta as a Corrosion Inhibitor in Low Si Containing Al-S Aluminum Alloy in HCL,10.5281/zenodo.3735662,"Nayem Hossain, A.K.M Parvez Iqbal, Md. Sajjad Hossain, Tonmoy Saha",2020-04-01,"Corrosion causes heavy damages to all metallic elements. Different machines and structures made of metal experiences this problem. Different fossil lubricant is used to avoid the corrosion in metal. Importance of bio-lubricant is inevitable in order to save the environment as well as for sustainable development. This paper represents the Colocasia esculenta as a corrosion inhibitor in low Si containing Al-S Aluminum alloy in HCl. Four different solutions such as HCl of Ph. value of 0.59; Colocasia esculenta leaf juice of Ph. value of 6.66; 60% HCl,40% Colocasia esculenta leaf juice of Ph. value of 0.79 and 40% HCL, 60% Colocasia esculenta leaf juice of Ph. value of 0.98 are considered. Firstly the weights of the four samples are taken. Then they are kept in four different solutions for 15 and 30 days. Later the weight of each sample is measured and compared with the previous weight. The weight of each sample decreased slightly. Finally, morphological analysis of the samples is performed by SEM to investigate the abnormality in sample’ structure.",Inconnu,Inconnu,"corrosion cause heavy damage to all metallic element . different machine and structure make of metal experience this problem . different fossil lubricant be use to avoid the corrosion in metal . importance of bio - lubricant be inevitable in order to save the environment as well as for sustainable development . this paper represent the Colocasia esculenta as a corrosion inhibitor in low si contain Al - S Aluminum alloy in HCl . four different solution such as HCl of Ph . value of 0.59 ; Colocasia esculenta leaf juice of Ph . value of 6.66 ; 60 % hcl,40 % Colocasia esculenta leaf juice of Ph . value of 0.79 and 40 % HCL , 60 % Colocasia esculenta leaf juice of Ph . value of 0.98 be consider . firstly the weight of the four sample be take . then they be keep in four different solution for 15 and 30 day . later the weight of each sample be measure and compare with the previous weight . the weight of each sample decrease slightly . finally , morphological analysis of the sample be perform by SEM to investigate the abnormality in sample ' structure ."
5,Composition and barrier properties of plasma electrolytic protective coatings on aluminum alloys used in marine technology,10.5281/zenodo.2578683,"EGORKIN VLADIMIR, VYALIY IGOR, SINEBRYUKHOV SERGEY, GNEDENKOV SERGEY, MINAEV ALEKSANDER",2019-03-01,"Aluminum alloys are increasingly used in marine technology for the construction of ship hulls and their superstructures, as well as for the manufacture of various marine equipment, piping, and other devices. However, the use of aluminum alloys in structural elements exposed to direct contact with seawater requires further study and the development of measures to improve anti-corrosion and tribological characteristics. The formation of protective coatings on the surface of aluminum alloys by the method of plasma electrolytic oxidation makes it possible to increase anti-corrosion and tribological characteristics. The paper represents the results of a study aimed to estimate the effect of the duty cycle (D) during plasma electrolytic oxidation (PEO) on morphology, chemical composition and barrier properties of coatings obtained on AMg3 aluminum alloy. The study revealed that an increase in the duty cycle of the polarizing signal leads to an increase in thickness and decrease in porosity of the coatings along with an improvement of the corrosion protection performance of the treated alloys.",https://zenodo.org/api/files/84e00c71-0b3d-4469-ba71-12e6825b17ad/2019-1-8.pdf,pdf,"aluminum alloy be increasingly use in marine technology for the construction of ship hull and their superstructure , as well as for the manufacture of various marine equipment , piping , and other device . however , the use of aluminum alloy in structural element expose to direct contact with seawater require further study and the development of measure to improve anti - corrosion and tribological characteristic . the formation of protective coating on the surface of aluminum alloy by the method of plasma electrolytic oxidation make it possible to increase anti - corrosion and tribological characteristic . the paper represent the result of a study aim to estimate the effect of the duty cycle ( d ) during plasma electrolytic oxidation ( PEO ) on morphology , chemical composition and barrier property of coating obtain on amg3 aluminum alloy . the study reveal that an increase in the duty cycle of the polarizing signal lead to an increase in thickness and decrease in porosity of the coating along with an improvement of the corrosion protection performance of the treat alloy ."
6,Corrosion of indium doped E-AlMgSi aluminum conductor alloy (Aldrey),10.3897/j.moem.7.1.65581,"Ganiev, Izatullo N., Aliev, Firdavs A., Odinazoda, Haydar O., Safarov, Ahror M., Usmonov, Rakhmazhon",2021-03-30,"The effect of impurities on the electrical conductivity of aluminum has been studied in detail. The electrical conductivity of aluminum is 65.45% of that of copper. The tensile strength of aluminum wire is 150–170 MPa which, at equal conductivity, is about 65% of the strength of copper wire. This strength of aluminum wire is sufficient for bearing the wire's own weight but may be too low in case of snow, ice or wind overloads. One way to improve the strength of aluminum wire is to use aluminum alloys having higher strength combined with sufficiently high electrical conductivity, e.g. the E-AlMgSi alloy (Aldrey). The key strengthening agent of the E-AlMgSi alloy (Aldrey) is the Mg2Si phase which imparts high mechanical strength to aluminum. In this work we present experimental data on the kinetics of high-temperature oxidation and electrochemical corrosion of indium doped E-AlMgSi aluminum conductor alloy (Aldrey). Thermal gravimetric study has shown that indium doping and high temperature exposure increase the oxidation rate of E-AlMgSi alloy (Aldrey), with the apparent alloy oxidation activation energy decreasing from 120.5 to 91.8 kJ/mole. Alloy oxidation rate data determined using a potentiostatic technique in NaCl electrolyte media have shown that the corrosion resistance of the indium doped alloy is 20–30% superior to that of the initial alloy. With an increase in NaCl electrolyte concentration the electrochemical potentials of the alloys decrease whereas the corrosion rate increases regardless of alloy composition.",https://zenodo.org/api/files/38516600-2a83-498b-bb84-cae9ff3f3208/MoEM_article_65581.pdf,pdf,"the effect of impurity on the electrical conductivity of aluminum have be study in detail . the electrical conductivity of aluminum be 65.45 % of that of copper . the tensile strength of aluminum wire be 150–170 mpa which , at equal conductivity , be about 65 % of the strength of copper wire . this strength of aluminum wire be sufficient for bear the wire 's own weight but may be too low in case of snow , ice or wind overload . one way to improve the strength of aluminum wire be to use aluminum alloy have high strength combine with sufficiently high electrical conductivity , e.g. the E - almgsi alloy ( Aldrey ) . the key strengthening agent of the E - almgsi alloy ( Aldrey ) be the Mg2Si phase which impart high mechanical strength to aluminum . in this work we present experimental datum on the kinetic of high - temperature oxidation and electrochemical corrosion of indium dope E - almgsi aluminum conductor alloy ( Aldrey ) . thermal gravimetric study have show that indium doping and high temperature exposure increase the oxidation rate of e - almgsi alloy ( Aldrey ) , with the apparent alloy oxidation activation energy decrease from 120.5 to 91.8 kJ / mole . alloy oxidation rate datum determine use a potentiostatic technique in NaCl electrolyte medium have show that the corrosion resistance of the indium dope alloy be 20–30 % superior to that of the initial alloy . with an increase in NaCl electrolyte concentration the electrochemical potential of the alloy decrease whereas the corrosion rate increase regardless of alloy composition ."
7,Research on Static and Dynamic Behavior of New Combination of Aluminum Honeycomb Panel and Rod Single-layer Latticed Shell,10.5281/zenodo.1108382,"Xu Chen, Zhao Caiqi",2015-08-02,"In addition to the advantages of light weight, resistant
corrosion and ease of processing, aluminum is also applied to the
long-span spatial structures. However, the elastic modulus of
aluminum is lower than that of the steel. This paper combines the
high performance aluminum honeycomb panel with the aluminum
latticed shell, forming a new panel-and-rod composite shell structure.
Through comparative analysis between the static and dynamic
performance, the conclusion that the structure of composite shell is
noticeably superior to the structure combined before.",https://zenodo.org/api/files/798c57c6-1008-4108-806d-1db124125959/10002222.pdf,pdf,"in addition to the advantage of light weight , resistant 
 corrosion and ease of processing , aluminum be also apply to the 
 long - span spatial structure . however , the elastic modulus of 
 aluminum be low than that of the steel . this paper combine the 
 high performance aluminum honeycomb panel with the aluminum 
 lattice shell , form a new panel - and - rod composite shell structure . 
 through comparative analysis between the static and dynamic 
 performance , the conclusion that the structure of composite shell be 
 noticeably superior to the structure combine before ."
8,Using modern concepts in the design of extrusion dies to improve the mechanical extrusion and fatigue properties for AA1100,10.15587/1729-4061.2022.265712,"Abdulwahab M. Al-Mushehdany, Mazin Mahmood Yahya, Batool Kadhim Hmood, Hussain Jasim M. Alalkawi",2022-10-30,"In this research work a direct extrusion unit has been designed and manufactured for circular section using the theoretical die design concepts for designing of the die profile, as constancy of the ratio of successive generalized homogeneous strain increment (CRHS). This was carried out by studying the final mechanical properties of the direct extruded products through dies with theoretical concept (ACRHS) and (UCRHS). Commercial alloy AA1100 round section billets was subjected to uniform extruded compressive load using two types of extrusion dies i.e. (ACRHS) and (UCRHS) at room temperature. The product of these dies with as received were conducted to testing under tensile and fatigue tests without corrosion and with corrosion of 90 days fully submersed in 0.35 % NaСl solution. The experimental results show that the reduction percentage (RP) in the main mechanical properties, UTS, YS and BHN due to corrosion were 14.28 %, 5.88 % and 12.12 % for as received samples, 2.74 %, 5.08 % and 6.12 % for the ACRHS samples and 7.79 %, 6.86 % and 8.88 % for UCRHS samples respectively. It was concluded that the less reduction percentage was occurred in the ACRHS samples compared to other samples. Corrosion fatigue testing of the above three samples were made and compared to the same samples without corrosion. The testing results revealed that the corrosion is significantly reduce the fatigue strength at 107 cycles from 40 to 33.65 MPa for as received samples, from 49.47 to 46.73 for ACRHS samples and from 49.5 to 45.89 MPa for UCRHS samples. The results may be lead to the best mechanical and fatigue properties under corrosion action are the ACRHS samples. The obtained results show that the extrusion die (ACRHS) is the most efficient die design",https://zenodo.org/api/files/f433680d-df3e-4190-9396-cb4f91432da7/Using%20modern%20concepts%20in%20the%20design%20of%20extrusion%20dies%20to%20improve%20the%20mechanical%20extrusion%20and%20fatigue%20properties%20for%20AA1100.pdf,pdf,"in this research work a direct extrusion unit have be design and manufacture for circular section use the theoretical die design concept for designing of the die profile , as constancy of the ratio of successive generalized homogeneous strain increment ( crhs ) . this be carry out by study the final mechanical property of the direct extruded product through die with theoretical concept ( ACRHS ) and ( UCRHS ) . commercial alloy aa1100 round section billet be subject to uniform extruded compressive load use two type of extrusion die i.e. ( ACRHS ) and ( UCRHS ) at room temperature . the product of these die with as receive be conduct to test under tensile and fatigue test without corrosion and with corrosion of 90 day fully submerse in 0.35   % NaСl solution . the experimental result show that the reduction percentage ( rp ) in the main mechanical property , UTS , YS and BHN due to corrosion be 14.28   % , 5.88   % and 12.12   % for as receive sample , 2.74   % , 5.08   % and 6.12   % for the ACRHS sample and 7.79   % , 6.86   % and 8.88   % for UCRHS sample respectively . it be conclude that the less reduction percentage be occur in the ACRHS sample compare to other sample . corrosion fatigue testing of the above three sample be make and compare to the same sample without corrosion . the testing result reveal that the corrosion be significantly reduce the fatigue strength at 107   cycle from 40 to 33.65   MPa for as receive sample , from 49.47 to 46.73 for acrhs sample and from 49.5 to 45.89   MPa for UCRHS sample .   the result may be lead to the good mechanical and fatigue property under corrosion action be the ACRHS sample . the obtain result show that the extrusion die ( ACRHS ) be the most efficient die design"
9,Influence of the Pre-Treatment and Post-Treatment Operations on the Surface Chemistry and Corrosion Behavior of Cerium-Based Conversion Coatings on Aluminum,10.5281/zenodo.5084173,"R. Andreeva, E. Stoyanova, A. Tsanev, D. Stoychev",2021-05-17,"We investigated the corrosion-protective action of chemically deposited in green Ce solution conversion Cerium oxide coatings on technically pure aluminum (Al 1050) that were subsequently immersion-treated in phosphate solutions. A comparative study was conducted regarding the effect of: the type of pretreatment of the Аl substrate; the conversion treatment of the Аl substrate in Се-containing or Р-containing solutions; the consecutive conversion treatment of the Аl substrate in Се-containing and Р-containing solutions. The obtained results indicate that the pre-treatment of the aluminum substrate and the additional phosphate treatment of the Ce-oxide conversion coating deposited on Al 1050 have a strong impact on corrosion-protective effect. We established that the phosphate treatments lead to a transformation of the chemical composition, chemical state of the elements, structure and morphology of the Ce-oxide coatings formed on Al substrates. Oxides and phosphates of Al and Ce are formed, providing an effective barrier to the diffusion of Chloride ions towards the metal surface and increased corrosion resistance (Rp) of Al 1050 to general and pitting corrosion. We have established a marked increase in Rp for one of the model systems (Al(NaOH)/ CCOC(Ce+Cu)/PhL(NH4H2PO4)) during extended corrosion tests, which was related to the formation of poorly soluble surface corrosion products.",Inconnu,Inconnu,"we investigate the corrosion - protective action of chemically deposit in green Ce solution conversion cerium oxide coating on technically pure aluminum ( Al 1050 ) that be subsequently immersion - treat in phosphate solution . a comparative study be conduct regard the effect of : the type of pretreatment of the Аl substrate ; the conversion treatment of the Аl substrate in се - contain or р - contain solution ; the consecutive conversion treatment of the Аl substrate in се - contain and р - contain solution . the obtain result indicate that the pre - treatment of the aluminum substrate and the additional phosphate treatment of the Ce - oxide conversion coating deposit on Al 1050 have a strong impact on corrosion - protective effect . we establish that the phosphate treatment lead to a transformation of the chemical composition , chemical state of the element , structure and morphology of the Ce - oxide coating form on Al substrate . Oxides and phosphate of Al and Ce be form , provide an effective barrier to the diffusion of Chloride ion towards the metal surface and increase corrosion resistance ( Rp ) of Al 1050 to general and pit corrosion . we have establish a marked increase in Rp for one of the model system ( Al(NaOH)/ CCOC(Ce+Cu)/PhL(NH4H2PO4 ) ) during extended corrosion test , which be relate to the formation of poorly soluble surface corrosion product ."
